	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P02.bc24	3473	P2	bc24	2	3	H	H3	W139	Water	Londoltia_Punctata_7760	4	LP7760	5	2	139
P01.bc39	43985	P1	bc39	1	5	G	G5	W140	Water	Londoltia_Punctata_7760	5	LP7760	5	3	140
P02.bc36	1326	P2	bc36	2	5	D	D5	W141	Water	Londoltia_Punctata_0049	1	LP0049	5	2	141
P02.bc51	3056	P2	bc51	2	7	C	C7	W142	Water	Londoltia_Punctata_0049	2	LP0049	6	1.8	142
P01.bc78	20726	P1	bc78	1	10	F	F10	W143	Water	Londoltia_Punctata_0049	3	LP0049	6	2.333333333	143
P01.bc82	10797	P1	bc82	1	11	B	B11	W144	Water	Londoltia_Punctata_0049	4	LP0049	5	1	144
P01.bc32	37866	P1	bc32	1	4	H	H4	W145	Water	Londoltia_Punctata_0049	5	LP0049	5	2.6	145
P02.bc43	2046	P2	bc43	2	6	C	C6	W146	Water	Lemna_Turionifera_9109	1	LT9109	5	1	146
P04.bc22	1516	P4	bc22	4	3	F	F3	W146_(2)	Water	Lemna_Turionifera_9109	2	LT9109	5	1	146
P03.bc61	18332	P2	bc61	3	8	E	E8	W147	Water	Lemna_Turionifera_9109	2	LT9109	5	1	147
P03.bc19	38160	P2	bc19	3	3	C	C3	W148	Water	Lemna_Turionifera_9109	4	LT9109	6	1	148
P01.bc66	777	P1	bc66	1	9	B	B9	W149	Water	Lemna_Turionifera_9109	5	LT9109	5	1	149
P03.bc63	17747	P2	bc63	3	8	G	G8	W150	Water	Lemna_Turionifera_9109	6	LT9109	6	1	150
P03.bc22	25271	P2	bc22	3	3	F	F3	W151	Water	Lemna_Japonica_9250	1	LJ9250	5	1.6	151
P01.bc95	34256	P1	bc95	1	12	G	G12	W152	Water	Lemna_Japonica_9250	2	LJ9250	5	1	152
P02.bc40	5752	P2	bc40	2	5	H	H5	W153	Water	Lemna_Japonica_9250	3	LJ9250	5	2.75	153
P01.bc60	300	P1	bc60	1	8	D	D8	W154	Water	Lemna_Japonica_9250	4	LJ9250	5	0.875	154
P03.bc53	43047	P2	bc53	3	7	E	E7	W154	Water	Lemna_Japonica_9250	5	LJ9250	5	0.875	154
P01.bc76	25751	P1	bc76	1	10	D	D10	W155	Water	Lemna_Japonica_9250	6	LJ9250	5	1.166666667	155
P01.bc56	14346	P1	bc56	1	7	H	H7	W156	Water	Lemna_Minor_7123	1	LM7123	5	1	156
P01.bc57	340	P1	bc57	1	8	A	A8	W157	Water	Lemna_Minor_7123	2	LM7123	5	1	157
P02.bc37	1701	P2	bc37	2	5	E	E5	W158	Water	Lemna_Minor_7123	3	LM7123	5	1	158
P01.bc52	15583	P1	bc52	1	7	D	D7	W160	Water	Lemna_Minor_7123	4	LM7123	5	2.428571429	160
P04.bc11	52829	P4	bc11	4	2	C	C2	W161	Water	Lemna_Minor_7123	5	LM7123	7	1	161
P03.bc84	38933	P2	bc84	3	11	D	D11	W162	Water	Lemna_Minor_8389	1	LM8389	7	1	162
P02.bc88	2323	P2	bc88	2	11	H	H11	W163	Water	Lemna_Minor_8389	2	LM8389	8	1	163
P02.bc3	1254	P2	bc3	2	1	C	C1	W164	Water	Lemna_Minor_8389	3	LM8389	8	1	164
P03.bc86	25632	P2	bc86	3	11	F	F11	W165	Water	Lemna_Minor_8389	4	LM8389	8	1	165
P02.bc52	2185	P2	bc52	2	7	D	D7	W166	Water	Lemna_Minor_8389	5	LM8389	6	1	166
P03.bc48	45570	P2	bc48	3	6	H	H6	W167	Water	Lemna_Valdiviana_7650	1	LV7650	6	1	167
P01.bc69	740	P1	bc69	1	9	E	E9	W168	Water	Lemna_Valdiviana_7650	2	LV7650	6	1	168
P02.bc79	2779	P2	bc79	2	10	G	G10	W169	Water	Lemna_Valdiviana_7650	3	LV7650	6	1	169
P03.bc13	41905	P2	bc13	3	2	E	E2	W170	Water	Lemna_Valdiviana_7650	4	LV7650	6	1	170
P01.bc5	46370	P1	bc5	1	1	E	E1	W171	Water	Lemna_Valdiviana_7650	5	LV7650	6	1	171
P02.bc65	6690	P2	bc65	2	9	A	A9	W172	Water	Lemna_Yungensis_5280	1	LY5280	8	1	172
P02.bc10	6339	P2	bc10	2	2	B	B2	W173	Water	Lemna_Yungensis_5280	2	LY5280	6	1	173
P02.bc9	5575	P2	bc9	2	2	A	A2	W175	Water	Lemna_Yungensis_5280	3	LY5280	6	1	175
P01.bc83	20846	P1	bc83	1	11	C	C11	W176	Water	Lemna_Yungensis_5280	4	LY5280	5	1	176
P02.bc30	4024	P2	bc30	2	4	F	F4	W177	Water	Lemna_Minuta_7200	1	LM7200	5	1	177
P01.bc59	44	P1	bc59	1	8	C	C8	W178	Water	Lemna_Minuta_7200	2	LM7200	5	1	178
P03.bc33	45084	P2	bc33	3	5	A	A5	W179	Water	Lemna_Minuta_7200	3	LM7200	5	1	179
P04.bc13	53270	P4	bc13	4	2	E	E2	W180	Water	Lemna_Minuta_7200	4	LM7200	5	1	180
P03.bc11	33852	P2	bc11	3	2	C	C2	W181	Water	Lemna_Minuta_7200	5	LM7200	5	1	181
P03.bc85	35219	P2	bc85	3	11	E	E11	W182	Water	Lemna_Aequinoctialis_7339	1	LA7339	5	2	182
P02.bc45	3706	P2	bc45	2	6	E	E6	W183	Water	Lemna_Aequinoctialis_7339	2	LA7339	5	3	183
P01.bc94	30310	P1	bc94	1	12	F	F12	W184	Water	Lemna_Aequinoctialis_7339	3	LA7339	5	1	184
P02.bc14	4314	P2	bc14	2	2	F	F2	W185	Water	Lemna_Aequinoctialis_7339	4	LA7339	5	3	185
P03.bc87	33534	P2	bc87	3	11	G	G11	W186	Water	Lemna_Aequinoctialis_7339	5	LA7339	6	1	186
P01.bc49	6380	P1	bc49	1	7	A	A7	W187	Water	Lemna_Perpusilla_8539	1	LP8539	7	1	187
P03.bc38	46132	P2	bc38	3	5	F	F5	W187	Water	Lemna_Perpusilla_8539	2	LP8539	7	1	187
P01.bc47	25902	P1	bc47	1	6	G	G6	W188	Water	Lemna_Perpusilla_8539	3	LP8539	5	1	188
P04.bc17	19374	P4	bc17	4	3	A	A3	W189	Water	Lemna_Perpusilla_8539	4	LP8539	8	1	189
P03.bc18	36609	P2	bc18	3	3	B	B3	W190	Water	Lemna_Perpusilla_8539	5	LP8539	8	1	190
P02.bc85	2023	P2	bc85	2	11	E	E11	W191	Water	Lemna_Tenera_9243	1	LT9243	9	1	191
P02.bc72	4637	P2	bc72	2	9	H	H9	W192	Water	Lemna_Tenera_9243	2	LT9243	8	1	192
P02.bc78	2221	P2	bc78	2	10	F	F10	W194	Water	Lemna_Tenera_9243	3	LT9243	9	1	194
P01.bc86	24988	P1	bc86	1	11	F	F11	W195	Water	Lemna_Tenera_9243	4	LT9243	8	1	195
P03.bc49	54467	P2	bc49	3	7	A	A7	W195	Water	Lemna_Tenera_9243	5	LT9243	8	1	195
P02.bc67	2441	P2	bc67	2	9	C	C9	W196	Water	Pistia_Stratiotes	1	PS	8	5	196
P01.bc74	17682	P1	bc74	1	10	B	B10	W197	Water	Pistia_Stratiotes	2	PS	8	9	197
P01.bc46	15764	P1	bc46	1	6	F	F6	W198	Water	Pistia_Stratiotes	3	PS	9	5	198
P01.bc36	20324	P1	bc36	1	5	D	D5	W199	Water	Pistia_Stratiotes	4	PS	8	5	199
P04.bc19	24604	P4	bc19	4	3	C	C3	W200	Water	Pistia_Stratiotes	5	PS	9	5	200
