	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P03.bc54	25877	P2	bc54	3	7	F	F7	L151	Front	Lemna_Japonica_9250	1	LJ9250	5	1.6	151
P01.bc23	17198	P1	bc23	1	3	G	G3	L152	Front	Lemna_Japonica_9250	2	LJ9250	6	1	152
P01.bc11	30127	P1	bc11	1	2	C	C2	L153	Front	Lemna_Japonica_9250	3	LJ9250	5	2.75	153
P03.bc31	29803	P2	bc31	3	4	G	G4	L154	Front	Lemna_Japonica_9250	4	LJ9250	6	0.875	154
P01.bc19	17456	P1	bc19	1	3	C	C3	L155	Front	Lemna_Japonica_9250	5	LJ9250	5	1.166666667	155
P03.bc81	57667	P2	bc81	3	11	A	A11	L156	Front	Lemna_Minor_7123	1	LM7123	5	1	156
P02.bc33	3504	P2	bc33	2	5	A	A5	L157	Front	Lemna_Minor_7123	2	LM7123	5	1	157
P01.bc21	21087	P1	bc21	1	3	E	E3	L158	Front	Lemna_Minor_7123	3	LM7123	5	1	158
P02.bc31	3269	P2	bc31	2	4	G	G4	L159	Front	Lemna_Minor_7123	4	LM7123	5	1	159
P02.bc56	2812	P2	bc56	2	7	H	H7	L160	Front	Lemna_Minor_7123	5	LM7123	5	2.428571429	160
P03.bc60	30436	P2	bc60	3	8	D	D8	L161	Front	Lemna_Minor_8389	1	LM8389	5	1	161
P01.bc68	508	P1	bc68	1	9	D	D9	L162	Front	Lemna_Minor_8389	2	LM8389	5	1	162
P02.bc60	4867	P2	bc60	2	8	D	D8	L163	Front	Lemna_Minor_8389	3	LM8389	5	1	163
P02.bc1	9548	P2	bc1	2	1	A	A1	L164	Front	Lemna_Minor_8389	4	LM8389	5	1	164
P02.bc86	831	P2	bc86	2	11	F	F11	L165	Front	Lemna_Minor_8389	5	LM8389	5	1	165
P03.bc52	21902	P2	bc52	3	7	D	D7	L166	Front	Lemna_Valdiviana_7650	1	LV7650	7	1	166
P01.bc20	5180	P1	bc20	1	3	D	D3	L167	Front	Lemna_Valdiviana_7650	2	LV7650	7	1	167
P02.bc46	6209	P2	bc46	2	6	F	F6	L168	Front	Lemna_Valdiviana_7650	3	LV7650	8	1	168
P02.bc53	922	P2	bc53	2	7	E	E7	L169	Front	Lemna_Valdiviana_7650	4	LV7650	8	1	169
P01.bc65	507	P1	bc65	1	9	A	A9	L170	Front	Lemna_Valdiviana_7650	5	LV7650	8	1	170
P02.bc27	3870	P2	bc27	2	4	C	C4	L171	Front	Lemna_Yungensis_5280	1	LY5280	6	1	171
P02.bc13	561	P2	bc13	2	2	E	E2	L172	Front	Lemna_Yungensis_5280	2	LY5280	6	1	172
P02.bc77	2333	P2	bc77	2	10	E	E10	L173	Front	Lemna_Yungensis_5280	3	LY5280	6	1	173
P02.bc75	5062	P2	bc75	2	10	C	C10	L174	Front	Lemna_Yungensis_5280	4	LY5280	6	1	174
P01.bc75	33780	P1	bc75	1	10	C	C10	L175	Front	Lemna_Yungensis_5280	5	LY5280	6	1	175
P03.bc30	5543	P2	bc30	3	4	F	F4	L176	Front	Lemna_Minuta_7200	1	LM7200	6	1	176
P02.bc94	2137	P2	bc94	2	12	F	F12	L177	Front	Lemna_Minuta_7200	2	LM7200	8	1	177
P03.bc14	29345	P2	bc14	3	2	F	F2	L178	Front	Lemna_Minuta_7200	3	LM7200	6	1	178
P03.bc37	21857	P2	bc37	3	5	E	E5	L179	Front	Lemna_Minuta_7200	4	LM7200	6	1	179
P02.bc84	462	P2	bc84	2	11	D	D11	L180	Front	Lemna_Minuta_7200	5	LM7200	6	1	180
P01.bc38	3778	P1	bc38	1	5	F	F5	L181	Front	Lemna_Aequinoctialis_7339	1	LA7339	5	2	181
P03.bc72	8211	P2	bc72	3	9	H	H9	L183	Front	Lemna_Aequinoctialis_7339	2	LA7339	5	1	183
P03.bc47	2241	P2	bc47	3	6	G	G6	L184	Front	Lemna_Aequinoctialis_7339	3	LA7339	5	3	184
P01.bc34	25809	P1	bc34	1	5	B	B5	L185	Front	Lemna_Aequinoctialis_7339	4	LA7339	5	1	185
