	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P02.bc83	P2	bc83	2	11	C	C11	R160	Root	Lemna_Minor_7123	5	LM7123	5	2.428571429	160
P02.bc57	P2	bc57	2	8	A	A8	R161	Root	Lemna_Minor_8389	1	LM8389	5	1	161
P03.bc1	P2	bc1	3	1	A	A1	R163	Root	Lemna_Minor_8389	2	LM8389	5	1	163
P02.bc82	P2	bc82	2	11	B	B11	R164	Root	Lemna_Minor_8389	3	LM8389	5	1	164
P01.bc45	P1	bc45	1	6	E	E6	R165	Root	Lemna_Minor_8389	4	LM8389	5	1	165
P01.bc40	P1	bc40	1	5	H	H5	R166	Root	Lemna_Yungensis_5280	1	LY5280	7	1	166
P02.bc29	P2	bc29	2	4	E	E4	R167	Root	Lemna_Yungensis_5280	2	LY5280	7	1	167
P02.bc25	P2	bc25	2	4	A	A4	R168	Root	Lemna_Yungensis_5280	3	LY5280	8	1	168
P01.bc67	P1	bc67	1	9	C	C9	R169	Root	Lemna_Yungensis_5280	4	LY5280	8	1	169
P03.bc68	P2	bc68	3	9	D	D9	R170	Root	Lemna_Yungensis_5280	5	LY5280	8	1	170
P03.bc69	P2	bc69	3	9	E	E9	R171	Root	Lemna_Valdiviana_7650	1	LV7650	6	1	171
P02.bc42	P2	bc42	2	6	B	B6	R172	Root	Lemna_Valdiviana_7650	2	LV7650	6	1	172
P01.bc35	P1	bc35	1	5	C	C5	R173	Root	Lemna_Valdiviana_7650	3	LV7650	6	1	173
P02.bc73	P2	bc73	2	10	A	A10	R174	Root	Lemna_Valdiviana_7650	4	LV7650	6	1	174
P01.bc30	P1	bc30	1	4	F	F4	R175	Root	Lemna_Valdiviana_7650	5	LV7650	6	1	175
P02.bc62	P2	bc62	2	8	F	F8	R176	Root	Lemna_Minuta_7200	1	LM7200	6	1	176
P01.bc48	P1	bc48	1	6	H	H6	R177	Root	Lemna_Minuta_7200	2	LM7200	8	1	177
P01.bc79	P1	bc79	1	10	G	G10	R178	Root	Lemna_Minuta_7200	3	LM7200	6	1	178
P01.bc54	P1	bc54	1	7	F	F7	R180	Root	Lemna_Minuta_7200	4	LM7200	6	1	180
P03.bc15	P2	bc15	3	2	G	G2	R181	Root	Lemna_Aequinoctialis_7339	1	LA7339	5	2	181
P03.bc2	P2	bc2	3	1	B	B1	R182	Root	Lemna_Aequinoctialis_7339	2	LA7339	5	3	182
P02.bc93	P2	bc93	2	12	E	E12	R183	Root	Lemna_Aequinoctialis_7339	3	LA7339	5	1	183
