	Syncom	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Aerenchyma_mean_area	Aerenchyma_n	CCL	Complexity	Aerenchyma_total_area
v16.1	R186	5.54459	3.079188571	16.53513143	8.882278333	9.92841	8.803324167	35.74059226	7.728152535	195.6719	7	7	6	6	6	4	19	37	1131.929117	6	8	7.666666667	6791.5747
v16.2	R186	5.216495	1.83955	14.841085	7.810276667	11.81674833	0	25.91036395	6.013845598	1052.47378	6	6	6	5	5	0	19	44	777.5294267	6	7	7	1003.06279
v16.3	R186	6.06968	2.48112	12.39667286	8.143962143	7.715565	8.008738988	68.0956635	5.645120184	149.81725	6	7	7	6	3	0	20	19	334.9307886	6	6	6.5	2269.44305
v16.4	R186	5.5841425	3.039126071	17.24720429	9.761055476	13.25376452	7.21415381	27.53062119	11.20957034	194.3940225	8	7	7	7	7	3	14	50	925.2146743	7	7	7.428571429	6476.35324
v18.1	R28	5.49289	3.538505714	15.07022714	9.177988571	8.704085714	13.75909286	16.24972952	9.708502143	171.885745	7	7	7	7	7	1	21	36	625.2000014	7	7	6.777777778	4376.4
v18.2	R28	3.973941667	3.929188333	15.949076	11.131556	15.395574	4.346016	24.93251543	8.66259346	172.998685	6	5	5	5	5	1	14	46	1135.937718	5	7	7.2	5679.68858
v18.3	R28	5.432595714	2.914652857	16.63374476	16.85544095	22.74016571	0	14.22551278	14.80365829	187.6902775	7	7	6	7	2	0	18	28	744.2041083	6	6	6.285714286	4530.00018
v19.1	P162	6.0633625	2.9612575	15.41528111	9.170953889	11.42013929	0	29.7086694	8.777699764	169.04727	8	8	9	8	7	0	19	29	546.88148	8	7	6.875	4375.05182
v19.2	P162	11.63857625	5.696949464	6.178975714	13.57571143	7.689895714	0	42.54248786	17.64826705	190.749345	8	7	7	7	7	3	14	46	706.8262717	6	7	7.428571429	4240.95763
v19.3	P162	5.747435	2.331610714	13.68172595	9.007498333	10.83594667	11.67318083	31.71551398	7.895065495	190.50531	6	7	6	6	6	4	27	43	1317.429127	7	6	6.285714286	7966.42852
v20.1	R151	5.923281429	3.249827143	17.53477	13.26119143	12.97846667	0.062493333	38.02427	10.42532765	208.49744	6	6	7	6	6	1	19	34	1214.106173	6	7	7.166666667	7284.63704
v20.2	R151	4.067064	4.080774333	15.50407667	10.51487833	11.80241167	1.520005	31.50748923	7.183652046	175.7824475	5	6	6	6	6	2	13	47	1130.30899	6	7	7.333333333	6781.85394
v20.3	R151	5.300485	2.434848333	15.20871	9.339641667	11.792655	4.833355	30.98297938	6.686747292	175.5167975	6	6	6	6	6	2	16	48	1111.545844	5	7	7.333333333	5557.72922
v20.4	R151	5.18191	4.164137778	17.42052222	12.18522667	11.15222333	5.692065	33.70690152	8.904501728	195.736985	7	9	6	6	6	2	23	40	1310.050388	6	7	7.333333333	7860.30233
v21.1	P192	5.38349	3.91173	18.69626714	10.21529429	16.23773429	17.20971429	20.39748	17.02715553	219.832695	8	7	7	7	7	2	19	38	1203.683079	7	7	7.285714286	8425.78155
v21.2	P192	6.00304	3.139422857	20.19307286	12.26700143	19.70536452	0	35.60195033	14.828308	225.4663975	7	7	7	7	6	2	25	39	1243.345961	7	7	7.285714286	8703.42173
v21.3	P192	6.89893625	2.359927083	16.81475524	11.94145	12.46226571	10.08141071	28.677157	10.36507014	201.234215	8	6	7	7	7	2	20	42	1019.954383	7	7	7.285714286	7139.73425
v22.1	R34	6.540395	3.604183571	14.60524286	8.540215714	11.09736	7.605872857	23.70096556	23.48292204	170.8149025	8	6	6	6	6	2	27	50	803.9592817	6	7	7.333333333	4823.75569
v22.2	R34	5.70028	3.72896	16.57373667	9.955366667	11.01208167	11.95756167	26.48917718	11.2241583	198.02014	7	6	6	6	6	3	26	42	1440.845245	6	7	7.5	8645.07147
v22.3	R34	6.05334875	3.20471375	17.13741607	11.98391429	11.65180548	0	33.24229167	22.51591814	186.3645275	8	8	7	7	6	4	25	43	928.046252	5	8	7.666666667	6446.00285
v24.1	R289	6.4113225	2.91536625	15.9705425	9.10164	12.53507161	0	25.78528214	13.48412888	1838.890045	8	8	8	8	7	1	14	49	684.2305288	8	7	7.5	5473.88588
