"Species" "Metabolite" "log2foldchange" "p.value" "SignPval" "p.ajust" "SignPajus"
"21045" "SP9509" "X2061" -0.0403235650867462 0.335249703577758 "NoSignificant" 0.566686786836376 "NoSignificant"
"1902" "LA7339" "X1902" -0.0415148606510485 0.488717659011268 "NoSignificant" 0.672593992030455 "NoSignificant"
"4275" "LJ9250" "X1902" -0.0605634098698995 0.217471856448142 "NoSignificant" 0.500068534475855 "NoSignificant"
"6648" "LP0049" "X1902" -0.0472546789426804 0.0656700593617245 "NoSignificant" 0.470573454842811 "NoSignificant"
"9021" "LT9243" "X1902" -0.0767640869287805 0.151823926580134 "NoSignificant" 0.472149290768665 "NoSignificant"
"11394" "LY9208" "X1902" -0.0463954393212456 0.218346181579646 "NoSignificant" 0.500553092875111 "NoSignificant"
"13767" "SI7820" "X1902" -0.0465539197661977 0.640511564606053 "NoSignificant" 0.778778989202112 "NoSignificant"
"16140" "SI9227" "X1902" -0.0529693966298463 0.257066014743143 "NoSignificant" 0.519860777911746 "NoSignificant"
"18513" "SP7498" "X1902" -0.11252226725071 0.0819435297582712 "NoSignificant" 0.470573454842811 "NoSignificant"
"20886" "SP9509" "X1902" -0.0478130412063784 0.285421994403 "NoSignificant" 0.536032143375385 "NoSignificant"
"1808" "LA7339" "X1808" -0.0712743237991669 0.330643814476566 "NoSignificant" 0.563766969651865 "NoSignificant"
"4181" "LJ9250" "X1808" -0.071916618257474 0.264539356067361 "NoSignificant" 0.523349483199104 "NoSignificant"
"6554" "LP0049" "X1808" -0.0566669549561487 0.0962047635318704 "NoSignificant" 0.470573454842811 "NoSignificant"
"8927" "LT9243" "X1808" -0.114809080728781 0.128627174051832 "NoSignificant" 0.470573454842811 "NoSignificant"
"11300" "LY9208" "X1808" -0.058006221849761 0.262057914728339 "NoSignificant" 0.522623109987219 "NoSignificant"
"13673" "SI7820" "X1808" -0.0533128510584269 0.627457118002322 "NoSignificant" 0.769662952683683 "NoSignificant"
"16046" "SI9227" "X1808" -0.0538082706818952 0.393759561724541 "NoSignificant" 0.605501869420028 "NoSignificant"
"18419" "SP7498" "X1808" -0.146045100878983 0.0554165972219706 "NoSignificant" 0.470573454842811 "NoSignificant"
"20792" "SP9509" "X1808" -0.0654783752166539 0.305264936488523 "NoSignificant" 0.549722087939888 "NoSignificant"
"2280" "LA7339" "X2280" -0.0776566938541898 0.0149626075150695 "q < 0.05" 0.470573454842811 "NoSignificant"
"4653" "LJ9250" "X2280" -0.0498211768506356 0.264020574101729 "NoSignificant" 0.523211502430118 "NoSignificant"
"7026" "LP0049" "X2280" -0.0771005069287796 0.232948038885315 "NoSignificant" 0.509074490273731 "NoSignificant"
"9399" "LT9243" "X2280" -0.0348534740358475 0.2423089772656 "NoSignificant" 0.513027192583775 "NoSignificant"
"11772" "LY9208" "X2280" -0.0399603868854119 0.144719817480547 "NoSignificant" 0.470663787622665 "NoSignificant"
"14145" "SI7820" "X2280" -0.0351850844734307 0.306275987032918 "NoSignificant" 0.550160674111084 "NoSignificant"
"16518" "SI9227" "X2280" -0.0330514906203239 0.207646403974777 "NoSignificant" 0.49528171391689 "NoSignificant"
"18891" "SP7498" "X2280" -0.0690107917475253 0.0646993395748414 "NoSignificant" 0.470573454842811 "NoSignificant"
"21264" "SP9509" "X2280" -0.049532605637574 0.0582688214440801 "NoSignificant" 0.470573454842811 "NoSignificant"
"636" "LA7339" "X636" -0.00479297760013742 0.444065574753269 "NoSignificant" 0.640069412162081 "NoSignificant"
"3009" "LJ9250" "X636" -0.00635004096311098 0.661386528198744 "NoSignificant" 0.793195871672314 "NoSignificant"
"5382" "LP0049" "X636" 0.00226288744156822 0.892373871695937 "NoSignificant" 0.939567450449676 "NoSignificant"
"7755" "LT9243" "X636" -0.0217719610374472 0.106684542850982 "NoSignificant" 0.470573454842811 "NoSignificant"
