	Experiment	Time	Time2	Plate	nr	Sample	Microbe	Compound	Compound2	Value	Relative	Slope
1	1	T0	0	P1	1	X1	A3	Control	Control	0.398	1	1.115230985
37	1	T1	1	P1	1	X1	A3	Control	Control	0.247	0.620603015	1.197988065
73	1	T2	2	P1	1	X1	A3	Control	Control	0.709	1.781407035	3.782134641
109	1	T3	3	P1	1	X1	A3	Control	Control	0.858	2.155778894	1.988674354
145	1	T4	4	P1	1	X1	A3	Control	Control	0.899	2.25879397	-16.07451475
181	1	T5	5	P1	1	X1	A3	Control	Control	0.863	2.168341709	4.732601316
217	1	T6	6	P1	1	X1	A3	Control	Control	0.856	2.150753769	3.992233766
253	1	T0	0	P1	1	X2	A12	Control	Control	0.367	1	1.109553315
289	1	T1	1	P1	1	X2	A12	Control	Control	0.264	0.719346049	1.12653877
325	1	T2	2	P1	1	X2	A12	Control	Control	0.731	1.991825613	4.592840505
361	1	T3	3	P1	1	X2	A12	Control	Control	0.843	2.297002725	-21.14055288
397	1	T4	4	P1	1	X2	A12	Control	Control	0.817	2.226158038	235.9285733
433	1	T5	5	P1	1	X2	A12	Control	Control	0.818	2.228882834	4.468336865
469	1	T6	6	P1	1	X2	A12	Control	Control	0.82	2.234332425	3.54872709
505	1	T0	0	P1	1	X3	A17A	Control	Control	0.394	1	1.006345532
541	1	T1	1	P1	1	X3	A17A	Control	Control	0.247	0.626903553	1.006569009
577	1	T2	2	P1	1	X3	A17A	Control	Control	0.778	1.974619289	2.833347267
613	1	T3	3	P1	1	X3	A17A	Control	Control	0.981	2.489847716	-6.954470473
649	1	T4	4	P1	1	X3	A17A	Control	Control	0.95	2.411167513	-6.873601071
685	1	T5	5	P1	1	X3	A17A	Control	Control	0.874	2.218274112	4.429811256
721	1	T6	6	P1	1	X3	A17A	Control	Control	0.897	2.276649746	3.646184614
757	1	T0	0	P1	1	X4	A17B	Control	Control	0.389	1	1.682670953
793	1	T1	1	P1	1	X4	A17B	Control	Control	0.276	0.709511568	1.935307416
829	1	T2	2	P1	1	X4	A17B	Control	Control	0.476	1.223650386	2.29000457
865	1	T3	3	P1	1	X4	A17B	Control	Control	0.678	1.742930591	1.961057933
901	1	T4	4	P1	1	X4	A17B	Control	Control	0.811	2.084832905	-5.885022669
937	1	T5	5	P1	1	X4	A17B	Control	Control	0.724	1.861182519	6.176222756
973	1	T6	6	P1	1	X4	A17B	Control	Control	0.751	1.93059126	4.838532534
1009	1	T0	0	P1	1	X5	A23	Control	Control	0.336	1	1.477047564
1045	1	T1	1	P1	1	X5	A23	Control	Control	0.252	0.75	1.223279219
1081	1	T2	2	P1	1	X5	A23	Control	Control	0.562	1.672619048	2.03975303
1117	1	T3	3	P1	1	X5	A23	Control	Control	0.798	2.375	-2.810810816
1153	1	T4	4	P1	1	X5	A23	Control	Control	0.855	2.544642857	-4.946996462
1189	1	T5	5	P1	1	X5	A23	Control	Control	0.759	2.258928571	4.283597076
1225	1	T6	6	P1	1	X5	A23	Control	Control	0.78	2.321428571	4.20111682
1261	1	T0	0	P1	1	X6	A28	Control	Control	0.102	1	2.778273337
1297	1	T1	1	P1	1	X6	A28	Control	Control	0.104	1.019607843	-0.097483274
1333	1	T2	2	P1	1	X6	A28	Control	Control	0.159	1.558823529	-2.681021683
1369	1	T3	3	P1	1	X6	A28	Control	Control	0.102	1	0
1405	1	T4	4	P1	1	X6	A28	Control	Control	0.1	0.980392157	0
1441	1	T5	5	P1	1	X6	A28	Control	Control	0.102	1	-178.5000012
1477	1	T6	6	P1	1	X6	A28	Control	Control	0.1	0.980392157	-25.52352254
1513	1	T0	0	P1	1	X7	A34	Control	Control	0.245	1	1.698085736
1549	1	T1	1	P1	1	X7	A34	Control	Control	0.269	1.097959184	1.053919751
1585	1	T2	2	P1	1	X7	A34	Control	Control	0.483	1.971428571	1.295788442
1621	1	T3	3	P1	1	X7	A34	Control	Control	0.733	2.991836735	2.735141838
1657	1	T4	4	P1	1	X7	A34	Control	Control	0.843	3.440816327	2.761298643
1693	1	T5	5	P1	1	X7	A34	Control	Control	0.802	3.273469388	2.206846146
1729	1	T6	6	P1	1	X7	A34	Control	Control	0.91	3.714285714	1.955702374
1765	1	T0	0	P1	1	X8	A35	Control	Control	0.359	1	2.53797172
1801	1	T1	1	P1	1	X8	A35	Control	Control	0.307	0.855153203	1.137110876
1837	1	T2	2	P1	1	X8	A35	Control	Control	0.5	1.39275766	0.917276577
1873	1	T3	3	P1	1	X8	A35	Control	Control	0.912	2.540389972	1.448218047
1909	1	T4	4	P1	1	X8	A35	Control	Control	1.282	3.571030641	8.088443186
1945	1	T5	5	P1	1	X8	A35	Control	Control	1.309	3.646239554	2.027809575
1981	1	T6	6	P1	1	X8	A35	Control	Control	1.367	3.807799443	2.023155999
2017	1	T0	0	P1	1	X9	A3	C1	Compound	0.273	1	5.228523618
2053	1	T1	1	P1	1	X9	A3	C1	Compound	0.314	1.15018315	1.549715567
2089	1	T2	2	P1	1	X9	A3	C1	Compound	0.376	1.377289377	1.348061072
2125	1	T3	3	P1	1	X9	A3	C1	Compound	0.628	2.3003663	2.723152307
2161	1	T4	4	P1	1	X9	A3	C1	Compound	0.771	2.824175824	0
2197	1	T5	5	P1	1	X9	A3	C1	Compound	0.742	2.717948718	3.122455771
2233	1	T6	6	P1	1	X9	A3	C1	Compound	0.771	2.824175824	3.214200108
2269	1	T0	0	P1	1	X10	A12	C1	Compound	0.275	1	5.087358681
2305	1	T1	1	P1	1	X10	A12	C1	Compound	0.332	1.207272727	5.954809343
2341	1	T2	2	P1	1	X10	A12	C1	Compound	0.383	1.392727273	1.151412258
2377	1	T3	3	P1	1	X10	A12	C1	Compound	0.424	1.541818182	1.089193492
2413	1	T4	4	P1	1	X10	A12	C1	Compound	0.778	2.829090909	-4.090511371
2449	1	T5	5	P1	1	X10	A12	C1	Compound	0.696	2.530909091	3.485435522
2485	1	T6	6	P1	1	X10	A12	C1	Compound	0.727	2.643636364	3.696329217
2521	1	T0	0	P1	1	X11	A17A	C1	Compound	0.271	1	4.398632097
2557	1	T1	1	P1	1	X11	A17A	C1	Compound	0.361	1.332103321	1.442195358
2593	1	T2	2	P1	1	X11	A17A	C1	Compound	0.377	1.391143911	1.323040979
2629	1	T3	3	P1	1	X11	A17A	C1	Compound	0.658	2.42804428	-1.237474846
2665	1	T4	4	P1	1	X11	A17A	C1	Compound	0.758	2.79704797	-2.329482136
2701	1	T5	5	P1	1	X11	A17A	C1	Compound	0.599	2.210332103	4.71988817
2737	1	T6	6	P1	1	X11	A17A	C1	Compound	0.541	1.996309963	5.686110909
2773	1	T0	0	P1	1	X12	A17B	C1	Compound	0.103	1	24.39473743
2809	1	T1	1	P1	1	X12	A17B	C1	Compound	0.108	1.048543689	-77.2500029
2845	1	T2	2	P1	1	X12	A17B	C1	Compound	0.106	1.029126214	-51.49999928
2881	1	T3	3	P1	1	X12	A17B	C1	Compound	0.106	1.029126214	11.11510791
2917	1	T4	4	P1	1	X12	A17B	C1	Compound	0.103	1	4.646616497
2953	1	T5	5	P1	1	X12	A17B	C1	Compound	0.116	1.126213592	30.97744351
2989	1	T6	6	P1	1	X12	A17B	C1	Compound	0.107	1.038834951	8.746250059
3025	1	T0	0	P1	1	X13	A23	C1	Compound	0.53	1	1.473533018
3061	1	T1	1	P1	1	X13	A23	C1	Compound	0.385	0.726415094	1.572025518
3097	1	T2	2	P1	1	X13	A23	C1	Compound	0.861	1.624528302	-7.55344416
3133	1	T3	3	P1	1	X13	A23	C1	Compound	0.756	1.426415094	-17.80873056
3169	1	T4	4	P1	1	X13	A23	C1	Compound	0.761	1.435849057	5.907643311
3205	1	T5	5	P1	1	X13	A23	C1	Compound	0.717	1.352830189	11.47505065
3241	1	T6	6	P1	1	X13	A23	C1	Compound	0.817	1.541509434	5.867443881
3277	1	T0	0	P1	1	X14	A28	C1	Compound	0.632	1	1.276874845
3313	1	T1	1	P1	1	X14	A28	C1	Compound	0.396	0.626582278	1.624632599
3349	1	T2	2	P1	1	X14	A28	C1	Compound	0.977	1.545886076	-8.626023713
3385	1	T3	3	P1	1	X14	A28	C1	Compound	0.94	1.487341772	29.29801331
3421	1	T4	4	P1	1	X14	A28	C1	Compound	0.967	1.530063291	-7.320463518
3457	1	T5	5	P1	1	X14	A28	C1	Compound	0.982	1.553797468	10.09077449
3493	1	T6	6	P1	1	X14	A28	C1	Compound	0.965	1.526898734	5.722590555
3529	1	T0	0	P1	1	X15	A34	C1	Compound	0.626	1	1.221651352
3565	1	T1	1	P1	1	X15	A34	C1	Compound	0.377	0.602236422	1.609938235
3601	1	T2	2	P1	1	X15	A34	C1	Compound	0.96	1.533546326	-75.72580702
3637	1	T3	3	P1	1	X15	A34	C1	Compound	0.948	1.514376997	15.89758539
3673	1	T4	4	P1	1	X15	A34	C1	Compound	0.95	1.517571885	4.611013649
3709	1	T5	5	P1	1	X15	A34	C1	Compound	1.009	1.611821086	9.279611197
3745	1	T6	6	P1	1	X15	A34	C1	Compound	0.964	1.539936102	6.77026164
3781	1	T0	0	P1	1	X16	A35	C1	Compound	0.553	1	1.673428984
3817	1	T1	1	P1	1	X16	A35	C1	Compound	0.398	0.719710669	1.907496354
3853	1	T2	2	P1	1	X16	A35	C1	Compound	0.794	1.435804702	5.176671617
3889	1	T3	3	P1	1	X16	A35	C1	Compound	0.939	1.69801085	-19.20642196
3925	1	T4	4	P1	1	X16	A35	C1	Compound	0.899	1.625678119	16.01351464
3961	1	T5	5	P1	1	X16	A35	C1	Compound	0.886	1.602169982	8.938531826
3997	1	T6	6	P1	1	X16	A35	C1	Compound	0.904	1.634719711	5.647685951
4033	1	T0	0	P1	1	X17	A3	C2	Compound	0.572	1	1.441496144
4069	1	T1	1	P1	1	X17	A3	C2	Compound	0.375	0.655594406	1.930721153
4105	1	T2	2	P1	1	X17	A3	C2	Compound	0.8	1.398601399	8.336535299
4141	1	T3	3	P1	1	X17	A3	C2	Compound	0.901	1.575174825	-42.35100568
4177	1	T4	4	P1	1	X17	A3	C2	Compound	0.888	1.552447552	15.01104977
4213	1	T5	5	P1	1	X17	A3	C2	Compound	0.874	1.527972028	9.617523627
4249	1	T6	6	P1	1	X17	A3	C2	Compound	0.926	1.618881119	9.313939412
4285	1	T0	0	P1	1	X18	A12	C2	Compound	0.101	1	2.428930363
4321	1	T1	1	P1	1	X18	A12	C2	Compound	0.106	1.04950495	-0.112527852
4357	1	T2	2	P1	1	X18	A12	C2	Compound	0.168	1.663366337	-2.328630418
4393	1	T3	3	P1	1	X18	A12	C2	Compound	0.103	1.01980198	25.25000025
4429	1	T4	4	P1	1	X18	A12	C2	Compound	0.101	1	11.65384627
4465	1	T5	5	P1	1	X18	A12	C2	Compound	0.105	1.03960396	89.34615474
4501	1	T6	6	P1	1	X18	A12	C2	Compound	0.102	1.00990099	-9.693561009
4537	1	T0	0	P1	1	X19	A17A	C2	Compound	0.356	1	1.383938832
4573	1	T1	1	P1	1	X19	A17A	C2	Compound	0.422	1.185393258	1.302921657
4609	1	T2	2	P1	1	X19	A17A	C2	Compound	0.798	2.241573034	3.955367743
4645	1	T3	3	P1	1	X19	A17A	C2	Compound	0.929	2.609550562	-5.476923127
4681	1	T4	4	P1	1	X19	A17A	C2	Compound	0.954	2.679775281	0
4717	1	T5	5	P1	1	X19	A17A	C2	Compound	0.919	2.581460674	3.391439454
4753	1	T6	6	P1	1	X19	A17A	C2	Compound	0.954	2.679775281	3.480432388
4789	1	T0	0	P1	1	X20	A17B	C2	Compound	0.376	1	1.437764836
4825	1	T1	1	P1	1	X20	A17B	C2	Compound	0.444	1.180851064	1.3830446
4861	1	T2	2	P1	1	X20	A17B	C2	Compound	0.826	2.196808511	4.634423431
4897	1	T3	3	P1	1	X20	A17B	C2	Compound	0.939	2.497340426	-5.220841095
4933	1	T4	4	P1	1	X20	A17B	C2	Compound	0.975	2.593085106	-7.386854239
4969	1	T5	5	P1	1	X20	A17B	C2	Compound	0.904	2.404255319	3.868355732
5005	1	T6	6	P1	1	X20	A17B	C2	Compound	0.921	2.449468085	4.064888794
5041	1	T0	0	P1	1	X21	A23	C2	Compound	0.384	1	1.638036169
5077	1	T1	1	P1	1	X21	A23	C2	Compound	0.453	1.1796875	1.534028767
5113	1	T2	2	P1	1	X21	A23	C2	Compound	0.793	2.065104167	4.41168023
5149	1	T3	3	P1	1	X21	A23	C2	Compound	0.922	2.401041667	-12.59016393
5185	1	T4	4	P1	1	X21	A23	C2	Compound	0.937	2.440104167	-16.66546124
5221	1	T5	5	P1	1	X21	A23	C2	Compound	0.91	2.369791667	3.9835942
5257	1	T6	6	P1	1	X21	A23	C2	Compound	0.921	2.3984375	4.265327824
5293	1	T0	0	P1	1	X22	A28	C2	Compound	0.367	1	3.163065962
5329	1	T1	1	P1	1	X22	A28	C2	Compound	0.445	1.21253406	1.674042459
5365	1	T2	2	P1	1	X22	A28	C2	Compound	0.592	1.613079019	1.929260399
5401	1	T3	3	P1	1	X22	A28	C2	Compound	0.87	2.370572207	10.88784374
5437	1	T4	4	P1	1	X22	A28	C2	Compound	0.919	2.504087193	0
5473	1	T5	5	P1	1	X22	A28	C2	Compound	0.911	2.482288828	3.690136907
5509	1	T6	6	P1	1	X22	A28	C2	Compound	0.919	2.504087193	3.987740201
5545	1	T0	0	P1	1	X23	A34	C2	Compound	0.373	1	2.060672729
5581	1	T1	1	P1	1	X23	A34	C2	Compound	0.466	1.249329759	1.889025792
5617	1	T2	2	P1	1	X23	A34	C2	Compound	0.712	1.908847185	3.771768848
5653	1	T3	3	P1	1	X23	A34	C2	Compound	0.851	2.28150134	12.65098455
5689	1	T4	4	P1	1	X23	A34	C2	Compound	0.892	2.391420912	-27.02415033
5725	1	T5	5	P1	1	X23	A34	C2	Compound	0.882	2.36461126	4.076388916
5761	1	T6	6	P1	1	X23	A34	C2	Compound	0.865	2.319034853	4.188793531
5797	1	T0	0	P1	1	X24	A35	C2	Compound	0.105	1	105.0000003
5833	1	T1	1	P1	1	X24	A35	C2	Compound	0.106	1.00952381	157.5000087
5869	1	T2	2	P1	1	X24	A35	C2	Compound	0.107	1.019047619	-157.5000087
5905	1	T3	3	P1	1	X24	A35	C2	Compound	0.107	1.019047619	45.00000146
5941	1	T4	4	P1	1	X24	A35	C2	Compound	0.106	1.00952381	22.49999955
5977	1	T5	5	P1	1	X24	A35	C2	Compound	0.109	1.038095238	131.2500003
6013	1	T6	6	P1	1	X24	A35	C2	Compound	0.107	1.019047619	4.486590665
6049	1	T0	0	P1	1	X25	A3	C3	Compound	0.924	1	1.028815387
6085	1	T1	1	P1	1	X25	A3	C3	Compound	0.485	0.524891775	1.769386092
6121	1	T2	2	P1	1	X25	A3	C3	Compound	1.262	1.365800866	-11.86713915
6157	1	T3	3	P1	1	X25	A3	C3	Compound	1.195	1.293290043	5.418296232
6193	1	T4	4	P1	1	X25	A3	C3	Compound	1.233	1.334415584	12.43049374
6229	1	T5	5	P1	1	X25	A3	C3	Compound	1.2	1.298701299	16.8822332
6265	1	T6	6	P1	1	X25	A3	C3	Compound	1.251	1.353896104	10.28600957
6301	1	T0	0	P1	1	X26	A12	C3	Compound	0.593	1	1.869568969
6337	1	T1	1	P1	1	X26	A12	C3	Compound	0.483	0.81450253	2.022181664
6373	1	T2	2	P1	1	X26	A12	C3	Compound	0.922	1.554806071	41.05384527
6409	1	T3	3	P1	1	X26	A12	C3	Compound	0.942	1.588532884	-46.60250599
6445	1	T4	4	P1	1	X26	A12	C3	Compound	0.937	1.58010118	15.29075296
6481	1	T5	5	P1	1	X26	A12	C3	Compound	0.919	1.549747049	9.375863238
6517	1	T6	6	P1	1	X26	A12	C3	Compound	0.966	1.629005059	6.456167295
6553	1	T0	0	P1	1	X27	A17A	C3	Compound	0.582	1	1.72184697
6589	1	T1	1	P1	1	X27	A17A	C3	Compound	0.438	0.75257732	1.970510851
6625	1	T2	2	P1	1	X27	A17A	C3	Compound	0.874	1.501718213	14.30190562
6661	1	T3	3	P1	1	X27	A17A	C3	Compound	0.933	1.603092784	-77.35442975
6697	1	T4	4	P1	1	X27	A17A	C3	Compound	0.923	1.585910653	35.8767127
6733	1	T5	5	P1	1	X27	A17A	C3	Compound	0.926	1.591065292	9.043407151
6769	1	T6	6	P1	1	X27	A17A	C3	Compound	0.95	1.632302405	6.333024012
6805	1	T0	0	P1	1	X28	A17B	C3	Compound	0.563	1	1.927963229
6841	1	T1	1	P1	1	X28	A17B	C3	Compound	0.417	0.740674956	2.755887115
6877	1	T2	2	P1	1	X28	A17B	C3	Compound	0.711	1.262877442	8.790436675
6913	1	T3	3	P1	1	X28	A17B	C3	Compound	0.778	1.381882771	2.929517455
6949	1	T4	4	P1	1	X28	A17B	C3	Compound	0.839	1.490230906	-3.121996412
6985	1	T5	5	P1	1	X28	A17B	C3	Compound	0.789	1.401420959	12.55486749
7021	1	T6	6	P1	1	X28	A17B	C3	Compound	0.831	1.476021314	8.358782981
7057	1	T0	0	P1	1	X29	A23	C3	Compound	0.523	1	2.115448662
7093	1	T1	1	P1	1	X29	A23	C3	Compound	0.419	0.801147228	2.264399863
7129	1	T2	2	P1	1	X29	A23	C3	Compound	0.74	1.414913958	7.054856137
7165	1	T3	3	P1	1	X29	A23	C3	Compound	0.844	1.61376673	-31.55409185
7201	1	T4	4	P1	1	X29	A23	C3	Compound	0.82	1.567877629	21.31419812
7237	1	T5	5	P1	1	X29	A23	C3	Compound	0.815	1.5583174	9.331588918
7273	1	T6	6	P1	1	X29	A23	C3	Compound	0.851	1.627151052	9.113684981
7309	1	T0	0	P1	1	X30	A28	C3	Compound	0.099	1	2.840163931
7345	1	T1	1	P1	1	X30	A28	C3	Compound	0.103	1.04040404	-0.053862894
7381	1	T2	2	P1	1	X30	A28	C3	Compound	0.155	1.565656566	-2.800908135
7417	1	T3	3	P1	1	X30	A28	C3	Compound	0.102	1.03030303	-148.5000015
7453	1	T4	4	P1	1	X30	A28	C3	Compound	0.101	1.02020202	49.49999886
7489	1	T5	5	P1	1	X30	A28	C3	Compound	0.101	1.02020202	112.026314
7525	1	T6	6	P1	1	X30	A28	C3	Compound	0.104	1.050505051	6.594543973
7561	1	T0	0	P1	1	X31	A34	C3	Compound	0.406	1	0.85284353
7597	1	T1	1	P1	1	X31	A34	C3	Compound	0.259	0.637931034	0.842877475
7633	1	T2	2	P1	1	X31	A34	C3	Compound	0.932	2.295566502	2.894110993
7669	1	T3	3	P1	1	X31	A34	C3	Compound	1.141	2.810344828	-8.176691733
7705	1	T4	4	P1	1	X31	A34	C3	Compound	1.159	2.854679803	-8.651767148
7741	1	T5	5	P1	1	X31	A34	C3	Compound	1.091	2.687192118	3.283186649
7777	1	T6	6	P1	1	X31	A34	C3	Compound	1.077	2.65270936	2.683152815
7813	1	T0	0	P1	1	X32	A35	C3	Compound	0.497	1	0.926403884
7849	1	T1	1	P1	1	X32	A35	C3	Compound	0.261	0.525150905	1.006383899
7885	1	T2	2	P1	1	X32	A35	C3	Compound	0.94	1.891348089	3.130999502
7921	1	T3	3	P1	1	X32	A35	C3	Compound	1.178	2.370221328	-13.43243243
7957	1	T4	4	P1	1	X32	A35	C3	Compound	1.183	2.38028169	-11.56786315
7993	1	T5	5	P1	1	X32	A35	C3	Compound	1.128	2.269617706	4.396101785
8029	1	T6	6	P1	1	X32	A35	C3	Compound	1.1	2.213279678	3.548255989
8065	1	T0	0	P1	1	X33	A3	C4	Compound	0.436	1	0.949822546
8101	1	T1	1	P1	1	X33	A3	C4	Compound	0.265	0.607798165	0.919508265
8137	1	T2	2	P1	1	X33	A3	C4	Compound	0.889	2.038990826	2.323975028
8173	1	T3	3	P1	1	X33	A3	C4	Compound	1.17	2.683486239	-11.14350628
8209	1	T4	4	P1	1	X33	A3	C4	Compound	1.181	2.708715596	-10.59499266
8245	1	T5	5	P1	1	X33	A3	C4	Compound	1.125	2.580275229	3.516823568
8281	1	T6	6	P1	1	X33	A3	C4	Compound	1.104	2.532110092	3.078202415
8317	1	T0	0	P1	1	X34	A12	C4	Compound	0.374	1	1.118766532
8353	1	T1	1	P1	1	X34	A12	C4	Compound	0.253	0.676470588	0.891021979
8389	1	T2	2	P1	1	X34	A12	C4	Compound	0.711	1.901069519	1.456958042
8425	1	T3	3	P1	1	X34	A12	C4	Compound	1.09	2.914438503	5.348218792
8461	1	T4	4	P1	1	X34	A12	C4	Compound	1.141	3.050802139	-12.8507109
8497	1	T5	5	P1	1	X34	A12	C4	Compound	1.109	2.965240642	2.83228534
8533	1	T6	6	P1	1	X34	A12	C4	Compound	1.083	2.895721925	2.629795871
8569	1	T0	0	P1	1	X35	A17A	C4	Compound	0.351	1	1.044158208
8605	1	T1	1	P1	1	X35	A17A	C4	Compound	0.258	0.735042735	0.880861825
8641	1	T2	2	P1	1	X35	A17A	C4	Compound	0.74	2.108262108	1.656713274
8677	1	T3	3	P1	1	X35	A17A	C4	Compound	1.041	2.965811966	2.024999999
8713	1	T4	4	P1	1	X35	A17A	C4	Compound	1.121	3.193732194	-8.570930223
8749	1	T5	5	P1	1	X35	A17A	C4	Compound	1.061	3.022792023	2.732589016
8785	1	T6	6	P1	1	X35	A17A	C4	Compound	1.051	2.994301994	2.77484703
8821	1	T0	0	P1	1	X36	A17B	C4	Compound	0.103	1	66.21428479
8857	1	T1	1	P1	1	X36	A17B	C4	Compound	0.105	1.019417476	154.4999978
8893	1	T2	2	P1	1	X36	A17B	C4	Compound	0.106	1.029126214	-77.24999892
8929	1	T3	3	P1	1	X36	A17B	C4	Compound	0.106	1.029126214	22.07142729
8965	1	T4	4	P1	1	X36	A17B	C4	Compound	0.104	1.009708738	13.26993862
9001	1	T5	5	P1	1	X36	A17B	C4	Compound	0.107	1.038834951	34.42817667
9037	1	T6	6	P1	1	X36	A17B	C4	Compound	0.118	1.145631068	-1.256568537
9073	1	T0	0	P1	1	X37	A23	C4	Compound	0.39	1	2.164673662
9109	1	T1	1	P1	1	X37	A23	C4	Compound	0.608	1.558974359	4.283874548
9145	1	T2	2	P1	1	X37	A23	C4	Compound	0.744	1.907692308	7.505594527
9181	1	T3	3	P1	1	X37	A23	C4	Compound	0.753	1.930769231	0.99022005
9217	1	T4	4	P1	1	X37	A23	C4	Compound	0.83	2.128205128	-6.225194166
9253	1	T5	5	P1	1	X37	A23	C4	Compound	0.762	1.953846154	5.569139101
9289	1	T6	6	P1	1	X37	A23	C4	Compound	0.793	2.033333333	4.449563053
9325	1	T0	0	P1	1	X38	A28	C4	Compound	0.339	1	1.761516146
9361	1	T1	1	P1	1	X38	A28	C4	Compound	0.622	1.83480826	2.472380817
9397	1	T2	2	P1	1	X38	A28	C4	Compound	0.665	1.961651917	2.565894922
9433	1	T3	3	P1	1	X38	A28	C4	Compound	0.863	2.545722714	-12.09891229
9469	1	T4	4	P1	1	X38	A28	C4	Compound	0.869	2.563421829	-11.05849266
9505	1	T5	5	P1	1	X38	A28	C4	Compound	0.828	2.442477876	3.857990368
9541	1	T6	6	P1	1	X38	A28	C4	Compound	0.811	2.392330383	4.352904814
9577	1	T0	0	P1	1	X39	A34	C4	Compound	0.406	1	3.81083463
9613	1	T1	1	P1	1	X39	A34	C4	Compound	0.516	1.270935961	2.496980575
9649	1	T2	2	P1	1	X39	A34	C4	Compound	0.619	1.524630542	2.144546466
9685	1	T3	3	P1	1	X39	A34	C4	Compound	0.829	2.041871921	3.498669376
9721	1	T4	4	P1	1	X39	A34	C4	Compound	0.996	2.45320197	-5.673778538
9757	1	T5	5	P1	1	X39	A34	C4	Compound	0.965	2.376847291	4.149384239
9793	1	T6	6	P1	1	X39	A34	C4	Compound	0.865	2.130541872	5.260857201
9829	1	T0	0	P1	1	X40	A35	C4	Compound	0.384	1	5.999511765
9865	1	T1	1	P1	1	X40	A35	C4	Compound	0.447	1.1640625	7.456310676
9901	1	T2	2	P1	1	X40	A35	C4	Compound	0.512	1.333333333	3.892938057
9937	1	T3	3	P1	1	X40	A35	C4	Compound	0.547	1.424479167	1.988982981
9973	1	T4	4	P1	1	X40	A35	C4	Compound	0.688	1.791666667	1.48717341
10009	1	T5	5	P1	1	X40	A35	C4	Compound	0.925	2.408854167	4.047085902
10045	1	T6	6	P1	1	X40	A35	C4	Compound	0.797	2.075520833	5.661137072
10081	1	T0	0	P1	1	X41	A3	Blank	Blank	0.338	1	2.761757957
10117	1	T1	1	P1	1	X41	A3	Blank	Blank	0.414	1.224852071	2.565659132
10153	1	T2	2	P1	1	X41	A3	Blank	Blank	0.573	1.695266272	2.644998344
10189	1	T3	3	P1	1	X41	A3	Blank	Blank	0.673	1.99112426	3.263253576
10225	1	T4	4	P1	1	X41	A3	Blank	Blank	0.825	2.440828402	-9.642066413
10261	1	T5	5	P1	1	X41	A3	Blank	Blank	0.804	2.378698225	4.103782931
10297	1	T6	6	P1	1	X41	A3	Blank	Blank	0.758	2.24260355	4.491898188
10333	1	T0	0	P1	1	X42	A12	Blank	Blank	0.102	1	3.11145874
10369	1	T1	1	P1	1	X42	A12	Blank	Blank	0.105	1.029411765	-0.122253295
10405	1	T2	2	P1	1	X42	A12	Blank	Blank	0.154	1.509803922	-2.998869205
10441	1	T3	3	P1	1	X42	A12	Blank	Blank	0.103	1.009803922	50.99999776
10477	1	T4	4	P1	1	X42	A12	Blank	Blank	0.102	1	16.33980585
10513	1	T5	5	P1	1	X42	A12	Blank	Blank	0.104	1.019607843	42.0873787
10549	1	T6	6	P1	1	X42	A12	Blank	Blank	0.113	1.107843137	-1.476182843
10585	1	T0	0	P1	1	X43	A17A	Blank	Blank	0.213	1	1.147923023
10621	1	T1	1	P1	1	X43	A17A	Blank	Blank	0.443	2.079812207	-3.785545016
10657	1	T2	2	P1	1	X43	A17A	Blank	Blank	0.359	1.685446009	9.305825216
10693	1	T3	3	P1	1	X43	A17A	Blank	Blank	0.353	1.657276995	8.595592433
10729	1	T4	4	P1	1	X43	A17A	Blank	Blank	0.386	1.812206573	16.95859874
10765	1	T5	5	P1	1	X43	A17A	Blank	Blank	0.4	1.877934272	6.118152207
10801	1	T6	6	P1	1	X43	A17A	Blank	Blank	0.411	1.929577465	6.238134488
10837	1	T0	0	P1	1	X44	A17B	Blank	Blank	0.271	1	2.810952487
10873	1	T1	1	P1	1	X44	A17B	Blank	Blank	0.413	1.52398524	-18.33359256
10909	1	T2	2	P1	1	X44	A17B	Blank	Blank	0.395	1.457564576	12.31818179
10945	1	T3	3	P1	1	X44	A17B	Blank	Blank	0.384	1.41697417	9.166796281
10981	1	T4	4	P1	1	X44	A17B	Blank	Blank	0.406	1.498154982	10.53805849
11017	1	T5	5	P1	1	X44	A17B	Blank	Blank	0.442	1.63099631	8.49179016
11053	1	T6	6	P1	1	X44	A17B	Blank	Blank	0.453	1.671586716	6.121518389
11089	1	T0	0	P1	1	X45	A23	Blank	Blank	0.242	1	2.473918741
11125	1	T1	1	P1	1	X45	A23	Blank	Blank	0.387	1.599173554	-22.33846157
11161	1	T2	2	P1	1	X45	A23	Blank	Blank	0.372	1.537190083	7.956164393
11197	1	T3	3	P1	1	X45	A23	Blank	Blank	0.367	1.516528926	7.446153855
11233	1	T4	4	P1	1	X45	A23	Blank	Blank	0.412	1.702479339	11.5282727
11269	1	T5	5	P1	1	X45	A23	Blank	Blank	0.427	1.76446281	6.75523155
11305	1	T6	6	P1	1	X45	A23	Blank	Blank	0.453	1.871900826	4.758781663
11341	1	T0	0	P1	1	X46	A28	Blank	Blank	0.237	1	1.37127689
11377	1	T1	1	P1	1	X46	A28	Blank	Blank	0.42	1.772151899	-4.120557883
11413	1	T2	2	P1	1	X46	A28	Blank	Blank	0.334	1.4092827	17.84362944
11449	1	T3	3	P1	1	X46	A28	Blank	Blank	0.329	1.388185654	18.62528471
