"ID" "Species" "Treatment" "Replicates" "Day_0" "Day_3" "Day_5" "Day_7" "Day_12" "Day_14" "Day_17" "Day_19" "Day_21" "Day_25" "Max" "Tfmax" "derivada_Total_vel" "derivada_Initial_vel" "Total_vel" "Initial_vel"
"33" 33 "SP9192" "No-Microbiome" 3 1 1.530729126 2.184355633 2.306962007 3.533481043 3.772613408 4.206978947 3.805556161 4.257986606 4.923494828 4.923494828 25 6.223845897 4.804725095 0.160672359 0.208128453
"34" 34 "SP9192" "No-Microbiome" 4 1 1.092333206 1.682852347 1.892673536 3.258754296 2.737377695 3.17579228 3.806881668 3.604391726 4.362844593 4.362844593 25 6.891190954 6.395777051 0.145112798 0.156353167
"35" 35 "SP9192" "No-Microbiome" 5 1 1.388058271 1.727525272 1.734133008 2.189806512 2.599283702 2.746135929 2.543624011 3.054870452 3.225290752 3.225290752 25 11.0848426 8.265577592 0.090213279 0.120983681
"36" 36 "LP7760" "No-Microbiome" 1 1 1.693583094 2.770271797 2.773409775 NA 5.370127222 5.458473387 8.258234135 6.010516221 7.790554646 8.258234135 19 2.778737007 3.282806076 0.359875727 0.304617445
"37" 37 "LP7760" "No-Microbiome" 2 1 1.057620024 1.297925838 1.240579483 2.768576841 3.902811139 3.116142639 4.795024376 3.492524551 4.832845527 4.832845527 25 5.091612606 18.1794843 0.196401431 0.055007061
"38" 38 "LP7760" "No-Microbiome" 3 1 0.805226932 1.147340228 1.40742946 2.073334234 2.548853267 2.889058041 3.112524843 3.552927058 3.7097228 3.7097228 25 7.54827902 8.561154394 0.132480529 0.116806677
"39" 39 "LP7760" "No-Microbiome" 4 1 0.718182947 1.304160448 1.144879266 1.940308799 2.345599889 2.331160749 2.688308853 3.701921498 3.400971505 3.701921498 21 7.344975568 5.71398122 0.136147492 0.175009326
"40" 40 "LP7760" "No-Microbiome" 5 1 0.974679761 1.549551768 1.479229348 3.153275961 2.718328191 2.638531955 3.4211497 3.230995164 3.840795244 3.840795244 25 7.464210929 8.06707821 0.133972634 0.123960618
"41" 41 "LP0049" "No-Microbiome" 1 1 0.770967238 0.774901844 1.056913403 1.532340505 1.957264509 1.56610805 2.35527958 2.162147005 2.606002934 2.606002934 25 11.65078556 1.126295494 0.085831122 0.887866466
"42" 42 "LP0049" "No-Microbiome" 2 1 0.699552609 0.759000063 0.983098192 1.419705325 1.456262381 1.543668911 1.956334365 1.962429293 2.115152931 2.115152931 25 15.35718202 -1.850793624 0.065116113 0.540308756
"43" 43 "LP0049" "No-Microbiome" 3 1 0.754489997 1.009199927 1.051965071 1.446974454 2.121733712 2.148955019 1.927553312 2.339321302 1.386275118 2.339321302 21 11.49985095 6.680526133 0.086957649 0.149688809
"44" 44 "LP0049" "No-Microbiome" 4 1 0.915710058 0.590692805 1.163383892 1.660097818 1.829974425 3.046531141 2.22934656 2.348850314 5.609408747 5.609408747 25 4.782687922 0.474409764 0.209087445 2.107882417
"45" 45 "LP0049" "No-Microbiome" 5 1 0.547869878 0.999379379 1.096025691 1.605630626 1.767890802 2.176291272 2.013173288 2.169950224 2.894696644 2.894696644 25 11.15427779 3.577001126 0.089651703 0.279563792
"46" 46 "LT9109" "No-Microbiome" 1 1 0.919375032 1.207610156 1.245894161 2.882478254 2.697104405 2.955743731 4.153852746 4.343240446 5.609661135 5.609661135 25 4.970478448 14.86109067 0.201187876 0.067289812
"47" 47 "LT9109" "No-Microbiome" 2 1 0.536185877 1.811051446 1.500445 2.875208319 4.128187527 6.280786139 6.918488755 4.330561418 6.232995919 6.918488755 19 2.696969237 3.166281955 0.37078658 0.315827843
"48" 48 "LT9109" "No-Microbiome" 3 1 0.54074778 0.941873979 1.159780246 1.995116098 2.702392481 2.502694937 3.083984909 3.039467573 5.284953612 5.284953612 25 5.462016299 3.805919067 0.183082573 0.262748625
"49" 49 "LT9109" "No-Microbiome" 4 1 0.940577155 1.127864731 1.339754753 2.443046188 3.135587548 3.871066588 4.332741394 5.169894997 6.50023436 6.50023436 25 4.165297349 13.9721768 0.240078899 0.071570809
"50" 50 "LT9109" "No-Microbiome" 5 1 0.408844482 1.024421318 1.350373555 2.108203448 2.382880264 2.891716348 3.536237524 3.19932358 4.697046027 4.697046027 25 5.994808348 3.497154135 0.166811004 0.28594679
"51" 51 "LJ9250" "No-Microbiome" 1 1 1.085886468 1.430911984 1.784770967 3.098714883 3.84865475 4.311384413 5.320934933 5.661367412 5.125495137 5.661367412 21 4.052316832 7.848160065 0.246772412 0.1274184
"52" 52 "LJ9250" "No-Microbiome" 2 1 0.942529338 1.281097768 1.696806331 2.920999712 3.218266942 3.669007773 4.250382086 3.330508485 3.610881865 4.250382086 19 5.226774675 7.468143654 0.191322577 0.133902084
"53" 53 "LJ9250" "No-Microbiome" 3 1 0.885580333 1.532708052 1.120206198 2.188574872 3.295590998 2.534420725 2.71927171 3.6448565 4.024518874 4.024518874 25 6.864937154 4.783289937 0.145667757 0.20906113
"54" 54 "LJ9250" "No-Microbiome" 4 1 1.052997958 1.59250603 1.549695107 3.419175748 4.148408565 3.871403806 4.190315032 4.456556764 5.080450592 5.080450592 25 5.170393311 8.321498988 0.193408884 0.120170657
"55" 55 "LJ9250" "No-Microbiome" 5 1 0.666492655 1.0843925 1.617399352 2.183483681 2.532985662 2.103893043 2.667734463 2.537711016 3.277609975 3.277609975 25 9.325394852 5.073138296 0.107234065 0.197116645
"56" 56 "LM7123" "No-Microbiome" 1 1 0.876599514 1.701022187 1.586433268 3.390922845 3.324336619 4.240247451 4.503476039 4.798010731 6.076471983 6.076471983 25 4.608383886 5.616827992 0.216995811 0.178036429
"57" 57 "LM7123" "No-Microbiome" 2 1 1.197851676 1.865566639 1.703091953 3.751726053 3.966816437 5.546721945 5.531219518 6.270477023 7.803597595 7.803597595 25 3.462698032 6.404579125 0.288792147 0.156138285
"58" 58 "LM7123" "No-Microbiome" 3 1 1.847945073 2.327166951 4.705293762 7.273759247 7.848150462 11.68026555 10.04490222 11.12003908 12.51355057 12.51355057 25 1.879624932 1.727106972 0.532021034 0.579002932
"59" 59 "LM7123" "No-Microbiome" 4 1 1.220976581 1.626474799 3.121814682 4.732139099 5.654024521 7.574142623 7.799359309 8.176690953 10.18957716 10.18957716 25 2.519380349 2.74280237 0.396922998 0.364590614
"60" 60 "LM7123" "No-Microbiome" 5 1 1.09414156 2.576034989 3.045334868 5.726472009 5.687997114 8.789402103 7.138969865 8.501544199 10.44935922 10.44935922 25 2.433327817 2.650255623 0.410959836 0.377322093
"61" 61 "LM8389" "No-Microbiome" 1 1 1.384657901 2.085106654 1.559212641 3.285785793 3.543263502 6.112907865 5.465805799 7.532653414 6.583688185 7.532653414 21 3.045131681 4.738208156 0.328393024 0.211050247
"62" 62 "LM8389" "No-Microbiome" 2 1 1.151552607 1.732026751 1.289020374 2.320174035 2.61884485 3.759435829 3.744536962 3.647448255 5.008927229 5.008927229 25 5.930830422 5.829164201 0.168610452 0.17155118
"63" 63 "LM8389" "No-Microbiome" 3 1 1.372660352 2.184307457 2.501908498 3.558636678 3.994727455 4.161735779 3.92281435 4.60465375 6.768054823 6.768054823 25 4.709807282 4.171507862 0.212322913 0.239721471
"64" 64 "LM8389" "No-Microbiome" 4 1 1.232832339 1.733508417 2.684887254 2.738852152 3.246599926 3.596978892 3.477168646 4.305374254 4.868406976 4.868406976 25 6.4022829 3.71490228 0.156194285 0.269186085
"65" 65 "LM8389" "No-Microbiome" 5 1 1.597072714 2.071060524 3.465754963 4.708719715 5.459416493 4.615979212 5.154790301 6.502639117 7.802518708 7.802518708 25 3.676455239 2.689147435 0.272001136 0.37186507
"66" 66 "LV7650" "No-Microbiome" 1 1 1.532919399 1.857965747 3.611283429 4.424824478 4.411049585 5.953940362 5.983751696 5.924951408 9.912063252 9.912063252 25 2.985124586 2.38864751 0.334994393 0.418646952
"67" 67 "LV7650" "No-Microbiome" 2 1 1.344330752 2.526572516 3.516582102 4.231142117 4.887819811 3.932021821 6.774358111 6.682264196 8.943280765 8.943280765 25 3.162118122 2.475991647 0.316243721 0.403878584
"68" 68 "LV7650" "No-Microbiome" 3 1 0.807124275 1.965361987 4.086632397 5.2409298 5.185871976 6.640697774 4.185992068 6.868490204 8.690936136 8.690936136 25 2.947527073 1.68057525 0.339267452 0.595034349
"69" 69 "LV7650" "No-Microbiome" 4 1 1.344456095 2.487064195 3.564784032 5.574524411 5.560636886 6.198984161 6.279914911 7.687822629 9.068434177 9.068434177 25 3.060622091 2.437540929 0.326730962 0.410249522
"70" 70 "LV7650" "No-Microbiome" 5 1 1.390990456 2.780426906 3.579962813 4.464813629 4.869942901 6.212759182 5.043059131 8.917506013 9.717508121 9.717508121 25 2.754541484 2.379916069 0.363036827 0.420182885
"71" 71 "LY5280" "No-Microbiome" 1 1 1.386679744 2.227431609 2.619317195 2.898637248 3.485543368 4.209841254 4.630192261 5.327021764 5.478072944 5.478072944 25 5.244393804 3.909241635 0.190679807 0.25580409
"72" 72 "LY5280" "No-Microbiome" 2 1 1.156282684 2.259246911 2.595349449 3.608727222 3.622670162 5.816536543 4.740354208 5.553746882 6.839850194 6.839850194 25 4.06568177 3.516155611 0.245961208 0.28440152
"73" 73 "LY5280" "No-Microbiome" 3 1 1.514316483 2.507588975 2.9254932 3.149662655 5.38012146 4.851114272 4.150516547 4.414120191 7.555601479 7.555601479 25 3.899782855 3.301551263 0.256424534 0.302887922
"74" 74 "LY5280" "No-Microbiome" 4 1 1.423172643 3.87069657 4.153361808 5.444607996 6.713199338 8.096105593 8.327857466 7.431269908 10.6551426 10.6551426 25 2.606120049 1.695869547 0.383712178 0.589667998
"75" 75 "LY5280" "No-Microbiome" 5 1 1.444997844 2.723844642 3.147018819 3.92319812 4.539126476 5.268157652 5.180709733 7.228676783 7.454671706 7.454671706 25 3.735137333 2.817722124 0.267727773 0.354896599
"76" 76 "LM7200" "No-Microbiome" 1 1 1.22506431 1.380806058 4.602828832 3.615423307 5.319922334 6.986799152 7.675214593 6.25309509 9.500388631 9.500388631 25 2.68578179 1.373655559 0.372331067 0.727984532
"77" 77 "LM7200" "No-Microbiome" 2 1 1.85604089 2.229832179 2.999700416 4.291255681 4.111577552 5.270305222 5.76388193 7.607767006 10.99645348 10.99645348 25 2.639692115 3.570191804 0.378832059 0.280096996
"78" 78 "LM7200" "No-Microbiome" 3 1 2.471064293 2.971639625 3.152936389 5.500434909 9.282250756 10.04574658 6.102190174 10.89915409 14.81282366 14.81282366 25 1.731393438 2.923778483 0.577569475 0.342023175
"79" 79 "LM7200" "No-Microbiome" 4 1 1.671027898 1.626167255 2.340830855 3.749281082 2.735753638 2.732646945 2.914574873 2.792668249 4.820468743 4.820468743 25 6.388287182 5.150110272 0.156536482 0.1941706
"80" 80 "LM7200" "No-Microbiome" 5 1 2.490619155 4.963236632 6.140314046 8.583315861 10.24585786 15.39491826 14.66904418 14.30030014 21.74544544 21.74544544 25 1.244842252 1.260800075 0.803314636 0.793147161
"81" 81 "LA7339" "No-Microbiome" 1 1 1.804138041 1.871853881 2.090091494 3.944390821 4.213510101 3.238265509 4.71417509 5.379352414 5.633609091 5.633609091 25 4.893090428 5.906102836 0.204369818 0.169316388
"82" 82 "LA7339" "No-Microbiome" 2 1 1.416057398 2.37185079 2.664930771 4.985770116 4.449061505 5.6719575 7.189711256 7.760415404 7.232631982 7.760415404 21 3.000274368 3.690016845 0.333302851 0.271001473
"83" 83 "LA7339" "No-Microbiome" 3 1 1.00609282 1.761288374 1.034712148 2.317643933 3.961186204 4.657891224 5.370349046 5.172760929 5.361272929 5.370349046 19 3.639714368 2.523683726 0.274746834 0.396246166
"84" 84 "LA7339" "No-Microbiome" 4 1 1.806384335 1.782223562 2.315736778 3.653790985 4.54770771 4.633258521 NA 5.110768468 5.661589468 5.661589468 25 4.910137854 5.256300648 0.20366027 0.19024787
"85" 85 "LA7339" "No-Microbiome" 5 1 1.641856783 1.993177408 2.192657627 3.60962016 5.411655849 NA 5.922419631 6.523282131 6.837202132 6.837202132 25 3.71149126 5.641171713 0.269433478 0.177268137
"86" 86 "LP8539" "No-Microbiome" 1 1 3.68024673 3.22457329 3.223225144 4.452541951 7.017775418 7.940388949 8.006929597 7.443982233 8.206647838 8.206647838 25 3.026176848 1.828528706 0.330449954 0.546887777
"87" 87 "LP8539" "No-Microbiome" 2 1 1.663165851 1.774225537 2.717385799 3.968407275 3.630804654 5.17651077 4.823002144 6.579721663 6.639016241 6.639016241 25 4.06020079 4.033334838 0.246293238 0.247933792
"88" 88 "LP8539" "No-Microbiome" 3 1 1.709324313 2.278573925 3.206388488 NA 5.877113736 5.222788198 6.612934563 6.753295519 7.514324028 7.514324028 25 3.562565092 3.1583149 0.280696626 0.316624539
"89" 89 "LP8539" "No-Microbiome" 4 1 2.175324082 3.075180986 3.219554541 3.605185375 4.578052804 6.103931702 6.481760455 5.304166433 5.604390492 6.481760455 19 3.580761251 2.848313084 0.279270225 0.351085
"90" 90 "LP8539" "No-Microbiome" 5 1 0.521278911 0.987419186 0.992232876 1.609698074 1.693762612 1.620550757 2.050413311 2.245936663 2.278669758 2.278669758 25 13.07891988 1.903195946 0.076458913 0.525431973
"91" 91 "LT9243" "No-Microbiome" 1 1 2.010707428 2.297827094 2.370935821 3.621515436 5.18158705 5.366557444 6.041496437 4.772458439 7.642978612 7.642978612 25 3.797272337 4.430488481 0.263346927 0.225708746
"92" 92 "LT9243" "No-Microbiome" 2 1 1.281198584 1.730217704 2.732308061 3.62421162 3.519288774 5.549235151 3.901697124 4.905568518 6.576101706 6.576101706 25 4.298406044 3.657556852 0.232644378 0.27340655
"93" 93 "LT9243" "No-Microbiome" 3 1 1.551259795 2.208848687 2.341167821 2.868631767 5.487316792 4.775986171 4.537868969 4.595681078 5.524522604 5.524522604 25 4.573313255 4.706014149 0.218659852 0.212494049
"94" 94 "LT9243" "No-Microbiome" 4 1 1.151303468 1.36810881 2.236441091 1.207826607 1.264394182 2.617794534 2.584867139 2.399078425 3.258834474 3.258834474 25 8.522130443 4.763157907 0.117341551 0.209944751
"95" 95 "LT9243" "No-Microbiome" 5 1 1.096281825 1.490663403 3.320235187 3.322361338 3.140285545 3.70986192 3.024700276 3.65257183 5.402470958 5.402470958 25 5.456925394 2.295606066 0.183253376 0.43561481
"96" 96 "PS" "No-Microbiome" 1 1 1.156150233 1.184658667 1.175966014 1.330823301 1.462415644 1.480673806 1.388596786 1.398504677 1.377467317 1.480673806 17 34.4752267 30.2270486 0.029006336 0.033082952
"97" 97 "PS" "No-Microbiome" 2 1 0.972769939 0.979411801 1.037910116 0.979638744 1.056977102 1.025918075 1.006718705 0.949027929 0.925949727 1.056977102 14 73.49222096 45.73153412 0.013606882 0.021866749
"98" 98 "PS" "No-Microbiome" 3 1 0.897901006 0.94118363 0.952466934 1.026809285 0.95903184 1.026433447 1.049253337 1.028682346 1.012186335 1.049253337 19 85.11526107 -28.6781786 0.011748774 0.034869718
"99" 99 "PS" "No-Microbiome" 4 1 1.096791921 1.093076012 1.039457281 1.1825739 1.138701043 1.20644992 1.171030247 1.067040791 1.056720448 1.20644992 17 72.98272837 26.70118551 0.013701872 0.037451521
"100" 100 "PS" "No-Microbiome" 5 1 0.938547563 0.941152464 1.034352105 1.018891711 1.02757829 1.100909864 1.011514289 1.074957435 1.056170495 1.100909864 17 82.43346161 12.80656383 0.012130996 0.078084958
"106" 106 "SP7820" "With-Microbiome" 1 1 1.197790109 1.768703586 2.028277366 2.008739874 2.031581573 2.212727556 2.909935187 2.241244951 2.197972732 2.909935187 19 10.54715322 5.998300453 0.094812314 0.16671389
"107" 107 "SP7820" "With-Microbiome" 2 1 1.629374901 2.15958835 2.153097652 2.408049055 2.260246583 2.278275404 2.22911542 2.748064888 2.500491111 2.748064888 21 12.16893392 5.212600381 0.082176467 0.191842828
"108" 108 "SP7820" "With-Microbiome" 3 1 1.756178669 2.232505694 1.967418847 1.53022323 1.941614103 2.930680229 3.245987968 2.481334396 2.127965625 3.245987968 19 7.38874223 4.889464405 0.135341032 0.204521378
"109" 109 "SP7820" "With-Microbiome" 4 1 1.777884846 1.969360884 1.782163471 2.798614977 2.598773874 2.108127908 2.862055954 1.720937668 2.170810264 2.862055954 19 9.171334586 5.69108724 0.109035385 0.175713349
"110" 110 "SP7820" "With-Microbiome" 5 1 1.430101525 1.89823738 NA NA 2.2953423 2.569387142 2.591965316 2.194887489 2.030102946 2.591965316 19 11.92807868 5.547428372 0.083835798 0.180263707
"111" 111 "SI9227" "With-Microbiome" 1 1 1.089071758 1.913265413 1.892348992 2.648708782 2.645114337 2.735508313 1.569192107 1.269670054 2.030102946 2.735508313 17 8.068486211 5.365591344 0.123938986 0.186372747
"112" 112 "SI9227" "With-Microbiome" 2 1 2.020224302 2.298941098 2.635906066 2.627923387 NA 3.081074418 NA 2.445985741 1.760011525 3.081074418 17 7.596158404 4.134312971 0.131645491 0.241878157
"113" 113 "SI9227" "With-Microbiome" 3 1 2.0022083 2.124252185 2.961960208 1.98096826 2.243144602 2.633829658 3.063476373 2.171740079 2.144358991 3.063476373 19 7.322686755 3.625864089 0.136561898 0.275796328
"114" 114 "SI9227" "With-Microbiome" 4 1 1.137488346 1.724744733 1.920390653 2.019611019 1.664779181 1.997225215 2.222357763 NA 2.469757769 2.469757769 25 15.20138091 6.356952852 0.065783497 0.157308072
"115" 115 "SI9227" "With-Microbiome" 5 1 1.171807634 1.468952869 3.350656701 3.587368701 4.472125581 4.169011037 3.651823615 2.3165482 2.803955188 4.472125581 14 3.414745458 2.288651871 0.292847596 0.43693845
"116" 116 "SP9509" "With-Microbiome" 1 1 1.767570272 2.626253457 2.721592995 2.645007694 NA 2.878907361 2.314662385 3.25212657 3.037377356 3.25212657 21 8.134776663 3.5915547 0.122929005 0.278430954
"117" 117 "SP9509" "With-Microbiome" 2 1 1.408511331 1.679368743 1.889333828 2.184720371 2.23954169 1.939315939 1.696123717 1.643696863 1.367422052 2.23954169 14 10.91626563 7.76743496 0.091606419 0.128742629
"118" 118 "SP9509" "With-Microbiome" 3 1 1.368436745 1.523779768 2.0468873 2.027326108 2.112861489 2.143440917 1.80159925 2.157610581 2.07681998 2.157610581 21 14.52373252 6.679435434 0.068852824 0.149713252
"119" 119 "SP9509" "With-Microbiome" 4 1 2.149729503 3.114624879 3.721584955 3.191316039 3.560790668 4.052865268 3.695016405 3.729234622 3.260152244 4.052865268 17 4.895780414 2.504584663 0.204257527 0.399267797
"120" 120 "SP9509" "With-Microbiome" 5 1 1.96311204 2.15803581 2.286173703 1.915054993 2.534844522 2.674789324 2.555951811 2.381049777 2.045126146 2.674789324 17 8.926686025 4.80713995 0.112023655 0.2080239
"121" 121 "SP5543" "With-Microbiome" 1 1 2.396358307 1.937838343 2.175784038 NA 2.247432026 2.43407822 NA 1.662350315 2.242219554 2.43407822 17 8.000587587 3.486665324 0.12499082 0.286806994
"122" 122 "SP5543" "With-Microbiome" 2 1 1.298244094 2.365316534 2.181829247 2.07688771 3.301218469 3.064477651 3.456834269 2.643235805 2.090797789 3.456834269 19 6.962705622 4.015927157 0.143622329 0.249008501
"123" 123 "SP5543" "With-Microbiome" 3 1 1.575574135 3.392072792 2.878398022 3.399637026 4.087860768 NA 2.653331638 2.605428872 3.206590948 4.087860768 14 3.991214812 2.334693258 0.250550283 0.428321792
"124" 124 "SP5543" "With-Microbiome" 4 1 1.625257118 2.369410557 2.399907833 2.196367818 2.717287389 2.207635666 3.254362333 2.695625256 1.672595348 3.254362333 19 8.163993846 4.306105166 0.122489068 0.23222842
"125" 125 "SP5543" "With-Microbiome" 5 1 1.925729057 2.313948311 3.178785586 2.790555675 2.94056183 2.75631514 2.799848469 2.647380576 2.677678068 3.178785586 7 3.277438689 3.277438689 0.30511631 0.30511631
"126" 126 "SP7498" "With-Microbiome" 1 1 1.19893552 2.1667704 2.391709111 2.143382525 1.678177 1.775112316 1.803701087 1.45131622 1.622057405 2.391709111 7 4.058820901 4.058820901 0.246376971 0.246376971
"127" 127 "SP7498" "With-Microbiome" 2 1 2.147162953 3.013836526 NA NA 3.650017961 NA 4.512107719 4.035723562 3.697287647 4.512107719 19 5.567323477 2.489777282 0.179619525 0.401642351
"128" 128 "SP7498" "With-Microbiome" 3 1 1.445689138 1.791280063 2.356979254 1.685234124 2.326192698 1.837082241 1.868301843 1.691598895 1.365646107 2.356979254 7 5.14730319 5.14730319 0.194276491 0.194276491
"129" 129 "SP7498" "With-Microbiome" 4 1 1.546897628 1.82562359 NA NA 3.077585337 2.406629658 2.348253357 2.284019978 2.774184148 3.077585337 14 6.840734323 5.976971589 0.146183137 0.167308809
"130" 130 "SP7498" "With-Microbiome" 5 1 1.495206982 2.129954832 2.293941321 1.951717088 3.186723729 2.942020991 2.622506823 2.614875506 2.081347324 3.186723729 14 6.081393997 4.921428761 0.164435983 0.203193026
"131" 131 "SP9192" "With-Microbiome" 1 1 1.064872502 1.618028316 1.747622768 1.89473285 1.92389219 1.678037309 2.200885313 1.835053674 1.645462008 2.200885313 19 14.14815186 7.274736296 0.07068061 0.137462027
"132" 132 "SP9192" "With-Microbiome" 2 1 1.558841808 2.190334682 2.558296819 2.324177148 2.090183841 2.189323776 2.080477557 2.702272045 2.092031904 2.702272045 21 9.649475854 4.311161389 0.103632572 0.231956058
