"ID" "Roots_number" "Plant_number" "root_plant" "Dead" "Species" "Treatment" "Replicates"
"188" 85 3 3 1 18.18181818 "LA7339" "No-Microbiome" 5
"89" 86 5 5 1 20 "LP8539" "No-Microbiome" 1
"90" 87 4 4 1 15.38461538 "LP8539" "No-Microbiome" 2
"141" 88 4 4 1 18.91891892 "LP8539" "No-Microbiome" 3
"37" 89 4 4 1 27.27272727 "LP8539" "No-Microbiome" 4
"92" 90 4 4 1 5.263157895 "LP8539" "No-Microbiome" 5
"142" 91 3 3 1 0 "LT9243" "No-Microbiome" 1
"93" 92 4 4 1 6.25 "LT9243" "No-Microbiome" 2
"94" 93 5 3 1.666666667 2.702702703 "LT9243" "No-Microbiome" 3
"189" 94 4 4 1 6.666666667 "LT9243" "No-Microbiome" 4
"143" 95 3 3 1 7.692307692 "LT9243" "No-Microbiome" 5
"190" 96 2 1 2 0 "PS" "No-Microbiome" 1
"95" 97 3 1 3 0 "PS" "No-Microbiome" 2
"144" 98 4 1 4 0 "PS" "No-Microbiome" 3
"38" 99 3 1 3 0 "PS" "No-Microbiome" 4
"40" 100 3 1 3 0 "PS" "No-Microbiome" 5
"96" 106 14 4 3.5 25 "SP7820" "With-Microbiome" 1
"41" 107 18 5 3.6 4.545454545 "SP7820" "With-Microbiome" 2
"145" 108 6 3 2 5 "SP7820" "With-Microbiome" 3
"146" 109 12 4 3 0 "SP7820" "With-Microbiome" 4
"43" 110 4 2 2 0 "SP7820" "With-Microbiome" 5
"97" 111 11 4 2.75 0 "SI9227" "With-Microbiome" 1
"98" 112 9 3 3 7.142857143 "SI9227" "With-Microbiome" 2
"1" 113 28 15 1.866666667 0 "SI9227" "With-Microbiome" 3
"44" 114 9 4 2.25 0 "SI9227" "With-Microbiome" 4
"99" 115 23 5 4.6 0 "SI9227" "With-Microbiome" 5
"2" 116 16 6 2.666666667 66.66666667 "SP9509" "With-Microbiome" 1
"100" 117 19 4 4.75 0 "SP9509" "With-Microbiome" 2
"45" 118 21 5 4.2 5 "SP9509" "With-Microbiome" 3
"46" 119 10 4 2.5 25 "SP9509" "With-Microbiome" 4
"147" 120 13 4 3.25 0 "SP9509" "With-Microbiome" 5
"48" 121 12 3 4 0 "SP5543" "With-Microbiome" 1
"148" 122 12 4 3 0 "SP5543" "With-Microbiome" 2
"101" 123 11 5 2.2 4.761904762 "SP5543" "With-Microbiome" 3
"102" 124 17 5 3.4 0 "SP5543" "With-Microbiome" 4
"49" 125 12 4 3 0 "SP5543" "With-Microbiome" 5
"149" 126 13 3 4.333333333 28.57142857 "SP7498" "With-Microbiome" 1
"103" 127 11 5 2.2 9.523809524 "SP7498" "With-Microbiome" 2
"3" 128 8 4 2 13.33333333 "SP7498" "With-Microbiome" 3
"4" 129 20 8 2.5 8.695652174 "SP7498" "With-Microbiome" 4
"104" 130 4 4 1 0 "SP7498" "With-Microbiome" 5
"105" 131 8 3 2.666666667 4.545454545 "SP9192" "With-Microbiome" 1
"50" 132 5 2 2.5 3.703703704 "SP9192" "With-Microbiome" 2
"6" 133 23 8 2.875 0 "SP9192" "With-Microbiome" 3
"51" 134 4 4 1 3.846153846 "SP9192" "With-Microbiome" 4
"7" 135 16 6 2.666666667 10.71428571 "SP9192" "With-Microbiome" 5
"52" 136 5 3 1.666666667 6.25 "LP7760" "With-Microbiome" 1
"106" 137 11 3 3.666666667 0 "LP7760" "With-Microbiome" 2
"53" 138 5 5 1 0 "LP7760" "With-Microbiome" 3
"150" 139 8 4 2 25 "LP7760" "With-Microbiome" 4
"108" 140 6 2 3 36.84210526 "LP7760" "With-Microbiome" 5
