	Species	Microbiome	Compound	Placa 	Well	0	3	6	12	15	17	20
105	LJ9250	Syncom	Lysine	9	9	1	1.011052632	1.531973684	1.285	1.410789474	1.707763158	1.632368421
108	LJ9250	Syncom	Glutaric_acid	10	1	1	0.852893082	1.06836478	0.921446541	1.018867925	0.99754717	1.064968553
109	LJ9250	Syncom	Glutaric_acid	10	2	1	1.039518072	1.247951807	1.048072289	1.265060241	1.143253012	1.223012048
110	LJ9250	Syncom	Glutaric_acid	10	3	1	0.823402062	1.116958763	0.976443299	1.046391753	1.001443299	1.084536082
114	LJ9250	Syncom	Pyrone	10	7	1	0.984793388	1.238677686	2.039669421	2.41322314	2.896280992	2.909008264
115	LJ9250	Syncom	Pyrone	10	8	1	0.779622642	1.135471698	1.759056604	2.254716981	2.617169811	2.643113208
116	LJ9250	Syncom	Pyrone	10	9	1	1.022706767	1.272255639	2.179548872	2.669172932	3.179473684	3.183759398
120	SP9509	NB	None	11	1	1	1.330541516	1.598519856	1.765559567	1.731588448	1.760649819	1.736281588
121	SP9509	NB	None	11	2	1	1.265753425	1.602009132	1.973013699	1.93260274	1.876255708	2.080182648
122	SP9509	NB	None	11	3	1	1.395271084	1.632680723	1.372018072	1.457349398	1.508343373	1.372349398
126	SP9509	NB	DMSO	11	7	1	0.981656442	0.992331288	1.007177914	1.188895706	0.998282209	1.013190184
127	SP9509	NB	DMSO	11	8	1	1.060043668	1.141877729	1.113187773	1.063537118	1.079694323	1.052620087
128	SP9509	NB	DMSO	11	9	1	0.963388158	0.83125	0.896414474	0.822796053	0.905164474	0.795164474
132	SP9509	Syncom	None	12	1	1	1.429044944	2.028370787	2.809438202	2.578651685	3.108988764	2.96247191
133	SP9509	Syncom	None	12	2	1	1.479512195	2.303089431	3.328617886	3.18699187	3.637398374	3.639756098
134	SP9509	Syncom	None	12	3	1	1.395159236	1.744522293	1.741592357	1.834394904	1.63866242	1.603089172
138	SP9509	Syncom	DMSO	12	7	1	1.369612676	1.965457746	2.213169014	2.211267606	2.414683099	2.31584507
139	SP9509	Syncom	DMSO	12	8	1	1.429577836	1.785593668	1.898205805	1.968337731	1.93	1.919525066
140	SP9509	Syncom	DMSO	12	9	1	1.507336957	2.000923913	2.709836957	2.945652174	3.01951087	3.092771739
144	SP9509	Syncom	Methyl-Cytrate	13	1	1	1.480825243	2.576553398	2.77407767	2.844660194	2.85684466	2.862087379
145	SP9509	Syncom	Methyl-Cytrate	13	2	1	1.332708333	2.1434375	2.31359375	2.291666667	2.374947917	2.605989583
146	SP9509	Syncom	Methyl-Cytrate	13	3	1	1.58280303	2.373636364	3.127424242	3.340909091	3.160681818	3.235681818
150	SP9509	Syncom	Citrulline	13	7	1	1.21693617	1.726042553	2.416468085	2.272340426	2.425148936	2.597148936
151	SP9509	Syncom	Citrulline	13	8	1	1.484304636	2.187086093	3.198278146	3.19205298	3.290066225	3.365430464
152	SP9509	Syncom	Citrulline	13	9	1	1.348091603	2.086335878	3.508167939	3.381679389	3.614351145	3.736030534
156	SP9509	Syncom	Adrenaline	14	1	1	1.353320611	1.646679389	2.141526718	1.993015267	2.166870229	2.171679389
157	SP9509	Syncom	Adrenaline	14	2	1	1.468953488	1.758914729	2.069767442	1.923294574	1.951589147	1.950271318
158	SP9509	Syncom	Adrenaline	14	3	1	1.526244131	1.944366197	2.216197183	2.05084507	2.4042723	2.221830986
162	SP9509	Syncom	Lysine	14	7	1	1.179196429	1.276294643	2.3565625	2.34375	2.798660714	2.811919643
163	SP9509	Syncom	Lysine	14	8	1	1.154194529	1.433829787	2.074711246	2.021367781	2.303708207	2.252340426
164	SP9509	Syncom	Lysine	14	9	1	1.175913978	1.218387097	1.762007168	1.845698925	2.238924731	2.166666667
168	SP9509	Syncom	Glutaric_acid	15	1	1	0.984195122	1.162585366	1.09204878	1.073170732	1.141463415	1.12102439
169	SP9509	Syncom	Glutaric_acid	15	2	1	0.872078652	1.168539326	0.955	1.061797753	1.134157303	1.066573034
170	SP9509	Syncom	Glutaric_acid	15	3	1	0.953923445	1.05354067	0.996411483	1.019138756	0.868373206	0.976220096
