	ID	Species	Medium	Treatment	MxT	MxS	Replicate	Fitness	Value
68	224	LA7339	Thousand	Syncom	1000_SynCom	SynCom_7339	2	Dead	0
69	225	LA7339	Thousand	Syncom	1000_SynCom	SynCom_7339	3	Dead	100
70	226	LA7339	Thousand	Syncom	1000_SynCom	SynCom_7339	4	Dead	50
71	25	LJ9250	Dir	NB	Dir_NB	NB_9250	1	Healthy	100
72	26	LJ9250	Dir	NB	Dir_NB	NB_9250	2	Healthy	100
73	27	LJ9250	Dir	NB	Dir_NB	NB_9250	3	Healthy	89.47368421
74	28	LJ9250	Dir	NB	Dir_NB	NB_9250	4	Healthy	100
75	25	LJ9250	Dir	NB	Dir_NB	NB_9250	1	Stressed 	0
76	26	LJ9250	Dir	NB	Dir_NB	NB_9250	2	Stressed 	0
77	27	LJ9250	Dir	NB	Dir_NB	NB_9250	3	Stressed 	5.263157895
78	28	LJ9250	Dir	NB	Dir_NB	NB_9250	4	Stressed 	0
79	25	LJ9250	Dir	NB	Dir_NB	NB_9250	1	Dead	0
80	26	LJ9250	Dir	NB	Dir_NB	NB_9250	2	Dead	0
81	27	LJ9250	Dir	NB	Dir_NB	NB_9250	3	Dead	5.263157895
82	28	LJ9250	Dir	NB	Dir_NB	NB_9250	4	Dead	0
83	60	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	1	Healthy	100
84	61	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	2	Healthy	88.88888889
85	62	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	3	Healthy	94.11764706
86	63	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	4	Healthy	95
87	60	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	1	Stressed 	0
88	61	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	2	Stressed 	11.11111111
89	62	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	3	Stressed 	5.882352941
90	63	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	4	Stressed 	5
91	60	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	1	Dead	0
92	61	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	2	Dead	0
93	62	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	3	Dead	0
94	63	LJ9250	Dir	Syncom	Dir_SynCom	SynCom_9250	4	Dead	0
95	130	LJ9250	Hundred	NB	100_NB	NB_9250	1	Healthy	93.75
96	131	LJ9250	Hundred	NB	100_NB	NB_9250	2	Healthy	100
97	132	LJ9250	Hundred	NB	100_NB	NB_9250	3	Healthy	100
98	133	LJ9250	Hundred	NB	100_NB	NB_9250	4	Healthy	90.90909091
99	130	LJ9250	Hundred	NB	100_NB	NB_9250	1	Stressed 	6.25
100	131	LJ9250	Hundred	NB	100_NB	NB_9250	2	Stressed 	0
101	132	LJ9250	Hundred	NB	100_NB	NB_9250	3	Stressed 	0
102	133	LJ9250	Hundred	NB	100_NB	NB_9250	4	Stressed 	9.090909091
103	130	LJ9250	Hundred	NB	100_NB	NB_9250	1	Dead	0
104	131	LJ9250	Hundred	NB	100_NB	NB_9250	2	Dead	0
105	132	LJ9250	Hundred	NB	100_NB	NB_9250	3	Dead	0
106	133	LJ9250	Hundred	NB	100_NB	NB_9250	4	Dead	0
107	165	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	1	Healthy	100
108	166	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	2	Healthy	100
109	167	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	3	Healthy	78.57142857
110	168	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	4	Healthy	86.66666667
111	165	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	1	Stressed 	5.555555556
112	166	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	2	Stressed 	0
113	167	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	3	Stressed 	0
114	168	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	4	Stressed 	14.28571429
115	165	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	1	Dead	7.777777778
116	166	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	2	Dead	0
117	167	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	3	Dead	0
118	168	LJ9250	Hundred	Syncom	100_SynCom	SynCom_9250	4	Dead	7.142857143
119	200	LJ9250	Thousand	NB	1000_NB	NB_9250	1	Healthy	92.85714286
120	201	LJ9250	Thousand	NB	1000_NB	NB_9250	2	Healthy	68.75
121	202	LJ9250	Thousand	NB	1000_NB	NB_9250	3	Healthy	77.77777778
122	203	LJ9250	Thousand	NB	1000_NB	NB_9250	4	Healthy	66.66666667
123	200	LJ9250	Thousand	NB	1000_NB	NB_9250	1	Stressed 	7.142857143
124	201	LJ9250	Thousand	NB	1000_NB	NB_9250	2	Stressed 	6.25
125	202	LJ9250	Thousand	NB	1000_NB	NB_9250	3	Stressed 	11.11111111
126	203	LJ9250	Thousand	NB	1000_NB	NB_9250	4	Stressed 	22.22222222
127	200	LJ9250	Thousand	NB	1000_NB	NB_9250	1	Dead	0
128	201	LJ9250	Thousand	NB	1000_NB	NB_9250	2	Dead	25
129	202	LJ9250	Thousand	NB	1000_NB	NB_9250	3	Dead	11.11111111
130	203	LJ9250	Thousand	NB	1000_NB	NB_9250	4	Dead	11.11111111
131	235	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	1	Healthy	57.14285714
132	236	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	2	Healthy	72.72727273
133	237	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	3	Healthy	100
134	237	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	4	Healthy	18.18181818
135	235	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	1	Stressed 	0
136	236	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	2	Stressed 	0
137	237	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	3	Stressed 	0
138	238	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	4	Stressed 	63.63636364
139	235	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	1	Dead	42.85714286
140	236	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	2	Dead	27.27272727
141	237	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	3	Dead	0
142	238	LJ9250	Thousand	Syncom	1000_SynCom	SynCom_9250	4	Dead	18.18181818
143	21	LP0049	Dir	NB	Dir_NB	NB_0049	1	Healthy	100
144	22	LP0049	Dir	NB	Dir_NB	NB_0049	2	Healthy	100
145	23	LP0049	Dir	NB	Dir_NB	NB_0049	3	Healthy	100
146	24	LP0049	Dir	NB	Dir_NB	NB_0049	4	Healthy	100
147	21	LP0049	Dir	NB	Dir_NB	NB_0049	1	Stressed 	0
148	22	LP0049	Dir	NB	Dir_NB	NB_0049	2	Stressed 	0
149	23	LP0049	Dir	NB	Dir_NB	NB_0049	3	Stressed 	0
150	24	LP0049	Dir	NB	Dir_NB	NB_0049	4	Stressed 	0
151	21	LP0049	Dir	NB	Dir_NB	NB_0049	1	Dead	0
152	22	LP0049	Dir	NB	Dir_NB	NB_0049	2	Dead	0
153	23	LP0049	Dir	NB	Dir_NB	NB_0049	3	Dead	0
154	24	LP0049	Dir	NB	Dir_NB	NB_0049	4	Dead	0
155	56	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	1	Healthy	100
156	57	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	2	Healthy	100
157	58	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	3	Healthy	100
158	59	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	4	Healthy	100
159	56	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	1	Stressed 	0
160	57	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	2	Stressed 	0
161	58	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	3	Stressed 	0
162	59	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	4	Stressed 	0
163	56	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	1	Dead	0
164	57	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	2	Dead	0
165	58	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	3	Dead	0
166	59	LP0049	Dir	Syncom	Dir_SynCom	SynCom_0049	4	Dead	0
167	126	LP0049	Hundred	NB	100_NB	NB_0049	1	Healthy	100
168	127	LP0049	Hundred	NB	100_NB	NB_0049	2	Healthy	100
169	128	LP0049	Hundred	NB	100_NB	NB_0049	3	Healthy	100
170	129	LP0049	Hundred	NB	100_NB	NB_0049	4	Healthy	80
171	126	LP0049	Hundred	NB	100_NB	NB_0049	1	Stressed 	0
172	127	LP0049	Hundred	NB	100_NB	NB_0049	2	Stressed 	0
173	128	LP0049	Hundred	NB	100_NB	NB_0049	3	Stressed 	0
174	129	LP0049	Hundred	NB	100_NB	NB_0049	4	Stressed 	20
175	126	LP0049	Hundred	NB	100_NB	NB_0049	1	Dead	0
