	Species	Microbiome	ID	Nutrition	Subsample	cell_layer_n	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Arenquima_mean_area	Arenquima_N
36	LP0049	B+	57	High	2	6	6.312034286	2.893038571	10.23856857	5.409658571	0	0	20.68084176	7.062947759	103.9190425	7	7	7	6	0	0	17	21	133.06487	7
37	LP0049	B+	59	High	3	5	7.896894444	3.804038889	14.99598111	0	0	0	29.05012778	16.33180251	145.5659825	9	9	9	0	0	0	9	20	84.77752	7
38	LJ9250	B+	60	High	1	5	8.44035	3.534332	12.576845	0	0	0	23.293515	12.56405086	122.8832825	10	10	10	0	0	0	10	21	50.548089	10
39	LJ9250	B+	61	High	2	5.1	8.994955556	3.703477778	17.19722778	0	0	0	30.52741333	16.700705	156.8367625	9	9	9	0	0	0	9	19	113.52633	10
40	LJ9250	B+	63	High	3	5	7.92343875	4.25897375	11.3691925	0	0	0	20.579075	14.4113155	122.4776925	8	8	8	0	0	0	8	20	45.52947375	8
41	SI7820	NB	107	Medium	1	7	6.901741429	3.403252321	13.00373625	7.96531	6.324165	0	16.20609735	7.253793004	126.7568275	7	8	8	2	0	0	17	26	267.3322863	8
42	SI7820	NB	108	Medium	2	7	8.216124286	4.166922857	13.02697857	8.092085714	9.082858571	0	16.32442882	9.29339	261.326645	7	7	7	7	3	0	18	28	326.7440038	8
43	SI7820	NB	109	Medium	3	7	6.193797143	2.58664	9.795092857	5.97422	11.50931111	0	18.80682994	7.636322651	127.886715	7	7	7	7	10	0	2	29	388.1870757	7
44	SP9509	NB	110	Medium	1	7	8.04271	3.88369	12.23000875	9.97457375	4.2817075	0	18.30755526	6.293862668	127.393025	8	8	8	1	2	0	11	23	171.32462	8
45	SP9509	NB	111	Medium	2	7	6.864577143	3.468032857	14.10243	8.385588571	7.529427429	0	28.25271971	8.325987619	155.272245	7	7	7	7	5	0	21	28	525.4769257	7
46	SP9509	NB	112	Medium	3	8	6.718485	2.812716667	11.70349667	6.242945667	4.716962667	7.516751667	26.00956939	5.590477854	145.0317625	6	6	6	6	6	5	22	41	583.5649217	6
47	SP9509	NB	113	Medium	4	7	7.273311111	3.816551746	15.72347571	9.82718	7.874931429	0	18.0285795	6.405121971	138.894055	9	7	7	7	1	0	20	32	333.4502271	7
48	LP8539	NB	114	Medium	1	5	7.41037	4.681465556	15.77369222	0	0	0	32.94441022	17.06705585	157.50827	9	9	9	0	0	0	10	24	83.79689125	8
49	LP8539	NB	115	Medium	2	5	8.429	3.910308889	9.98616	0	0	0	30.86709	13.37951338	134.6910625	8	9	9	0	0	0	9	20	34.5672575	8
50	LP8539	NB	116	Medium	3	5	10.419726	4.528742	16.309955	0	0	0	35.49003973	20.01856299	175.9357925	10	10	10	0	0	0	11	19	80.92246222	9
51	LP8539	NB	117	Medium	4	6	10.77833	5.792128	12.70756089	9.028841111	0	0	21.27552889	18.09303722	157.32557	9	10	10	1	0	0	10	16	73.10018	10
52	LA7339	NB	118	Medium	1	5	7.91812	4.531815	11.645911	0	0	0	34.099774	9.318115714	139.424405	10	10	10	0	0	0	10	19	37.12540111	10
53	LA7339	NB	120	Medium	2	5.1	8.49181875	4.29291	16.5937475	0	0	0	40.01212	15.27864428	85.9512625	8	8	8	0	0	0	8	17	60.63736125	8
54	LA7339	NB	121	Medium	3	5	8.308753333	4.072625556	15.25767333	0	0	0	67.497947	12.6270122	162.54554	9	9	9	0	0	0	10	23	46.882175	8
55	LP0049	NB	126	Medium	1	5	7.614925455	6.970552045	13.311185	0	0	0	29.74046917	19.96785363	161.1726125	11	12	12	0	0	0	12	15	85.82542	10
56	LP0049	NB	127	Medium	2	6	7.153535714	3.938338036	14.06930125	7.07093875	0	0	26.42857892	8.831445159	137.1033625	7	8	8	8	0	0	15	21	209.1923188	8
57	LP0049	NB	129	Medium	3	6	10.041717	4.674468	14.958298	7.730183	0	0	22.85913257	4.575538571	130.969015	10	10	10	5	0	0	14	26	101.726383	10
58	LJ9250	NB	130	Medium	1	5	8.346538571	4.676201429	15.939658	0	0	0	27.642051	20.33547688	155.9023975	5	10	10	0	0	0	10	15	79.19475	10
59	LJ9250	NB	131	Medium	2	5.1	9.445435556	4.420083194	17.25722125	0	0	0	34.76050889	18.92322911	172.4396675	9	8	8	0	0	0	9	18	108.2503588	8
60	LJ9250	NB	132	Medium	3	5	7.096937143	4.612257857	12.414855	0	0	0	23.482223	17.99392595	132.0354375	7	10	10	0	0	0	10	17	42.986977	10
