	Medium	Treatment	Species	Replicate	Fmax	Tfmax	AUC6	AUC14	Vel_in	Vel_fn
71	Dir	NatCom	SI7820	1	2.503172504	14	8.482827229	25.71856309	0.387415531	0.230537324
72	Dir	NatCom	SI7820	2	3.988997275	14	8.660605462	32.47179122	0.401708646	0.540693442
73	Dir	NatCom	SI7820	3	1.855443628	14	6.702874269	20.8162008	0.160769663	0.027254563
74	Dir	NatCom	SI7820	4	1.534353749	10	5.469205968	17.08013491	0.023636084	-0.015806906
75	Dir	NatCom	SP9509	1	2.22279776	14	7.148815421	22.95247685	0.248357743	0.09281176
76	Dir	NatCom	SP9509	2	2.004859497	10	7.265482311	21.63804376	0.260716717	-0.234781792
77	Dir	NatCom	SP9509	3	2.120383993	14	6.872715149	21.85922037	0.210830749	0.103401742
78	Dir	NatCom	SP9509	4	2.25033815	14	6.291533186	20.67429582	0.121419757	0.253980684
79	Dir	NatCom	LP8539	1	3.408245484	14	8.811303968	32.81983146	0.416705835	0.093080642
80	Dir	NatCom	LP8539	2	2.757230578	10	10.17599597	26.36009018	0.561923408	-1.378615289
81	Dir	NatCom	LP8539	3	3.773751884	14	8.568810722	31.93771443	0.256725559	0.540064771
82	Dir	NatCom	LP8539	4	5.255723383	14	7.044971317	39.09623178	0.099600021	0.443213515
83	Dir	NatCom	LA7339	1	10.07355116	14	17.31850881	84.29497781	1.001781632	0.651371521
84	Dir	NatCom	LA7339	2	6.88957672	14	14.43386243	63.36518519	0.700582011	0.289259259
85	Dir	NatCom	LA7339	3	7.104803789	14	7.904499323	53.97107578	0.092151556	0.227571042
86	Dir	NatCom	LA7339	4	3.208582194	14	5.099571091	24.12747024	-0.067402894	0.350713513
87	Dir	NatCom	PS	1	1.135714593	6	5.484302223	14.12560849	0.056146067	-0.009004963
88	Dir	NatCom	PS	2	1.483738915	14	6.558537306	17.77515313	0.217156202	0.039519924
89	Dir	NatCom	PS	3	1.171915242	3	5.423288046	12.48418279	0.085957621	-0.306088669
90	Dir	NatCom	PS	4	1.414342629	6	6.634068282	13.46102959	0.202510868	0.008755867
91	Dir	NatCom	LP0049	1	2.21930024	10	7.844006568	24.66992548	0.290855122	-0.085714286
92	Dir	NatCom	LP0049	2	2.564617402	14	7.980047839	25.1117206	0.328445916	0.254973665
93	Dir	NatCom	LP0049	3	2.537390236	14	8.018343104	24.99599345	0.341478713	0.249327974
94	Dir	NatCom	LP0049	4	2.077971814	10	7.736816406	23.67799288	0.298483456	-0.046463312
95	Dir	NatCom	LJ9250	1	3.306251222	14	7.834778977	26.66604753	0.311938999	0.588293845
96	Dir	NatCom	LJ9250	2	3.957068095	14	9.620595752	37.02338283	0.479249072	0.163177752
97	Dir	NatCom	LJ9250	3	2.340615296	14	6.678495342	23.18734202	0.175245541	0.07556691
98	Dir	NatCom	LJ9250	4	2.953896168	14	9.466370308	31.51306522	0.516833317	0.023285883
106	Hundred	NB	SI7820	1	2.647762962	14	7.323585363	26.01610703	0.239075035	0.087292044
107	Hundred	NB	SI7820	2	1.782646917	14	5.55630795	17.3908383	0.040392941	0.166726103
108	Hundred	NB	SI7820	3	2.30804332	14	7.987049194	25.55849308	0.295283143	0.036374251
109	Hundred	NB	SI7820	4	2.097984336	14	6.537590846	21.28903145	0.170296587	0.093909495
110	Hundred	NB	SP9509	1	1.929209212	14	6.513214579	19.30755012	0.147618693	0.226801819
111	Hundred	NB	SP9509	2	2.510409342	14	7.278427926	23.6297338	0.219249121	0.285924159
112	Hundred	NB	SP9509	3	1.894525449	14	6.250142445	19.39779	0.138792628	0.120134692
113	Hundred	NB	SP9509	4	2.031563905	14	6.807135152	19.3172852	0.218985976	0.328605052
114	Hundred	NB	LP8539	1	2.639208875	14	5.410378194	22.45181299	0.010597951	0.158792046
115	Hundred	NB	LP8539	2	3.720163989	14	7.888975974	28.11144606	0.308895789	0.73639707
116	Hundred	NB	LP8539	3	2.453230378	10	8.096092757	24.7867877	0.351517447	-0.453340338
117	Hundred	NB	LP8539	4	4.84422286	14	11.99982541	42.97817568	0.813106231	0.499922402
118	Hundred	NB	LA7339	1	4.335397956	14	8.069242283	36.65254981	0.211920615	0.263574894
119	Hundred	NB	LA7339	2	7.320999544	6	18.22345279	60.21767449	0.748390694	-3.419027827
120	Hundred	NB	LA7339	3	4.445468915	10	8.951643177	39.29516267	0.286123551	-0.422665306
121	Hundred	NB	LA7339	4	13.77839315	10	12.7482462	99.57205361	0.707114902	-0.865861763
122	Hundred	NB	PS	1	1.28728004	14	5.569388172	15.08348816	0.07218351	0.060942635
123	Hundred	NB	PS	2	1.431962902	10	6.118430625	17.13986277	0.131047717	-0.046983663
124	Hundred	NB	PS	3	1.198295512	6	5.569450972	14.35285272	0.054401541	0.066367462
125	Hundred	NB	PS	4	1.327106085	14	5.992570801	16.2474759	0.110968658	0.036421011
126	Hundred	NB	LP0049	1	3.250821666	14	9.750588753	33.53190911	0.481612795	0.105872001
127	Hundred	NB	LP0049	2	2.36087231	14	6.664286755	22.60542037	0.151027248	0.179537617
128	Hundred	NB	LP0049	3	2.804955192	14	9.166729422	30.45699977	0.452697869	0.00963928
