"Experiment" "Time" "Plate" "nr" "Sample" "Microbe" "Compound" "Compound2" "Value" "Relative"
"70" 1 "T2" "P19" 19 "X68" "P54" "C2" "Compound" 0.456 0.214588235
"71" 1 "T4" "P22" 22 "X7" "P91B" "Control" "Control" 0.426 0.215042908
"72" 1 "T6" "P30" 30 "X92" "A178" "Blank" "Blank" 0.112 0.215384615
"73" 1 "T5" "P36" 36 "X66" "P150" "C2" "Compound" 0.113 0.216475096
"74" 1 "T5" "P30" 30 "X94" "A179B" "Blank" "Blank" 0.113 0.217307692
"75" 1 "T2" "P6" 6 "X86" "A157A.1" "C4" "Compound" 0.379 0.218948585
"76" 1 "T3" "P30" 30 "X94" "A179B" "Blank" "Blank" 0.114 0.219230769
"77" 1 "T6" "P30" 30 "X94" "A179B" "Blank" "Blank" 0.114 0.219230769
"78" 1 "T6" "P20" 20 "X67" "P72" "C2" "Compound" 0.516 0.221174453
"79" 1 "T4" "P18" 18 "X94" "A157A.1" "Blank" "Blank" 0.111 0.223790323
"80" 1 "T4" "P36" 36 "X42" "P142" "Blank" "Blank" 0.11 0.224948875
"81" 1 "T4" "P36" 36 "X18" "P142" "C2" "Compound" 0.108 0.225941423
"82" 1 "T3" "P7" 7 "X31" "P106" "C3" "Compound" 0.469 0.226024096
"83" 1 "T5" "P18" 18 "X68" "P54" "C2" "Compound" 0.481 0.226352941
"84" 1 "T5" "P21" 21 "X79" "P127" "C3" "Compound" 0.414 0.2283508
"85" 1 "T5" "P36" 36 "X18" "P142" "C2" "Compound" 0.11 0.230125523
"86" 1 "T1" "P22" 22 "X61" "P96" "C1" "Compound" 0.561 0.231722429
"87" 1 "T2" "P6" 6 "X95" "A157A.2" "Blank" "Blank" 0.113 0.232032854
"88" 1 "T4" "P19" 19 "X51" "A176" "Control" "Control" 0.118 0.233201581
"89" 1 "T6" "P7" 7 "X31" "P106" "C3" "Compound" 0.485 0.23373494
"90" 1 "T4" "P28" 28 "X82" "A143" "C4" "Compound" 0.11 0.234042553
"91" 1 "T2" "P3" 3 "X31" "A99A" "C3" "Compound" 0.431 0.234111896
"92" 1 "T2" "P6" 6 "X91" "A151A" "Blank" "Blank" 0.106 0.235033259
"93" 1 "T1" "P30" 30 "X91" "A176" "Blank" "Blank" 0.127 0.235621521
"94" 1 "T5" "P36" 36 "X42" "P142" "Blank" "Blank" 0.116 0.237218814
"95" 1 "T6" "P23" 23 "X25" "P128A.112" "C3" "Compound" 0.467 0.238265306
"96" 1 "T4" "P30" 30 "X95" "A157A.2" "Blank" "Blank" 0.114 0.238993711
"97" 1 "T6" "P22" 22 "X7" "P115" "Control" "Control" 0.452 0.23940678
"98" 1 "T4" "P28" 28 "X79" "A245" "C3" "Compound" 0.19 0.239596469
"99" 1 "T3" "P21" 21 "X7" "P91B" "Control" "Control" 0.477 0.240787481
"100" 1 "T2" "P3" 3 "X7" "A99A" "Control" "Control" 0.492 0.241650295
"101" 1 "T5" "P16" 16 "X83" "A151A" "C4" "Compound" 0.111 0.241830065
"102" 1 "T1" "P4" 4 "X43" "A334" "Blank" "Blank" 0.493 0.244059406
"103" 1 "T1" "P4" 4 "X44" "A335" "Blank" "Blank" 0.524 0.245318352
"104" 1 "T1" "P20" 20 "X68" "P54" "C2" "Compound" 0.522 0.245647059
"105" 1 "T3" "P22" 22 "X7" "P115" "Control" "Control" 0.466 0.246822034
"106" 1 "T5" "P7" 7 "X31" "P106" "C3" "Compound" 0.513 0.247228916
"107" 1 "T2" "P6" 6 "X14" "P270" "C1" "Compound" 0.443 0.247901511
"108" 1 "T1" "P24" 24 "X25" "P128A.112" "C3" "Compound" 0.49 0.25
"109" 1 "T4" "P30" 30 "X91" "A151A" "Blank" "Blank" 0.106 0.250591017
"110" 1 "T4" "P15" 15 "X80" "A115" "C3" "Compound" 0.459 0.250819672
"111" 1 "T1" "P20" 20 "X56" "P58" "Control" "Control" 0.388 0.251132686
"112" 1 "T1" "P21" 21 "X43" "P61" "Blank" "Blank" 0.383 0.254147313
"113" 1 "T5" "P21" 21 "X55" "P127" "Control" "Control" 0.469 0.254752852
"114" 1 "T4" "P30" 30 "X92" "A152" "Blank" "Blank" 0.106 0.254807692
"115" 1 "T1" "P24" 24 "X1" "P128A.112" "Control" "Control" 0.361 0.256756757
"116" 1 "T4" "P7" 7 "X31" "P106" "C3" "Compound" 0.537 0.258795181
"117" 1 "T5" "P16" 16 "X81" "A148A" "C4" "Compound" 0.107 0.260340633
"118" 1 "T5" "P18" 18 "X92" "P54" "Blank" "Blank" 0.104 0.260651629
"119" 1 "T2" "P23" 23 "X25" "P128A.112" "C3" "Compound" 0.511 0.260714286
"120" 1 "T4" "P23" 23 "X55" "P127" "Control" "Control" 0.48 0.260727865
"121" 1 "T1" "P20" 20 "X80" "P58" "C3" "Compound" 0.615 0.262708244
"122" 1 "T4" "P19" 19 "X52" "A178" "Control" "Control" 0.13 0.263157895
"123" 1 "T5" "P18" 18 "X91" "P50" "Blank" "Blank" 0.107 0.263546798
"124" 1 "T2" "P26" 26 "X25" "A91" "C3" "Compound" 0.422 0.26424546
"125" 1 "T2" "P30" 30 "X85" "A179A" "C4" "Compound" 0.256 0.265284974
"126" 1 "T5" "P16" 16 "X79" "A157A.2" "C3" "Compound" 0.106 0.267002519
"127" 1 "T3" "P26" 26 "X25" "A91" "C3" "Compound" 0.431 0.269881027
"128" 1 "T3" "P19" 19 "X80" "P58" "C3" "Compound" 0.634 0.270824434
"129" 1 "T5" "P16" 16 "X80" "A157B" "C3" "Compound" 0.109 0.271144279
"130" 1 "T1" "P23" 23 "X55" "P127" "Control" "Control" 0.5 0.271591526
"131" 1 "T3" "P30" 30 "X85" "A179A" "C4" "Compound" 0.263 0.27253886
"132" 1 "T4" "P36" 36 "X54" "P155" "Control" "Control" 0.109 0.274559194
"133" 1 "T4" "P15" 15 "X8" "A100" "Control" "Control" 0.594 0.274618585
"134" 1 "T4" "P28" 28 "X81" "A141" "C4" "Compound" 0.103 0.274666667
"135" 1 "T4" "P28" 28 "X80" "A270" "C3" "Compound" 0.103 0.27540107
"136" 1 "T3" "P28" 28 "X81" "A341B" "C4" "Compound" 0.103 0.27540107
"137" 1 "T5" "P28" 28 "X81" "A341B" "C4" "Compound" 0.103 0.27540107
"138" 1 "T5" "P16" 16 "X82" "A148B" "C4" "Compound" 0.115 0.275779376
"139" 1 "T1" "P6" 6 "X2" "A160" "Control" "Control" 0.535 0.276342975
"140" 1 "T2" "P19" 19 "X67" "P50" "C2" "Compound" 0.448 0.278088144
"141" 1 "T1" "P6" 6 "X75" "A176" "C3" "Compound" 0.4 0.279134682
"142" 1 "T5" "P17" 17 "X73" "A174" "C3" "Compound" 0.375 0.279433681
"143" 1 "T6" "P36" 36 "X78" "P155" "C3" "Compound" 0.163 0.280550775
"144" 1 "T6" "P28" 28 "X81" "A341B" "C4" "Compound" 0.105 0.280748663
"145" 1 "T4" "P15" 15 "X20" "A92A.22" "C2" "Compound" 0.534 0.282988871
"146" 1 "T1" "P23" 23 "X79" "P127" "C3" "Compound" 0.514 0.283507998
"147" 1 "T1" "P2" 2 "X43" "A92A.231" "Blank" "Blank" 0.336 0.284263959
"148" 1 "T1" "P5" 5 "X14" "P270" "C1" "Compound" 0.514 0.287632904
"149" 1 "T4" "P7" 7 "X72" "P58" "C2" "Compound" 0.114 0.287878788
"150" 1 "T5" "P36" 36 "X54" "P155" "Control" "Control" 0.115 0.289672544
"151" 1 "T4" "P30" 30 "X94" "A157A.1" "Blank" "Blank" 0.115 0.291878173
"152" 1 "T3" "P23" 23 "X25" "P128A.112" "C3" "Compound" 0.573 0.292346939
"153" 1 "T3" "P7" 7 "X72" "P58" "C2" "Compound" 0.116 0.292929293
"154" 1 "T5" "P7" 7 "X72" "P58" "C2" "Compound" 0.116 0.292929293
"155" 1 "T6" "P7" 7 "X72" "P58" "C2" "Compound" 0.116 0.292929293
"156" 1 "T3" "P19" 19 "X68" "P54" "C2" "Compound" 0.623 0.293176471
"157" 1 "T4" "P22" 22 "X61" "P96" "C1" "Compound" 0.712 0.29409335
"158" 1 "T5" "P22" 22 "X45" "P129" "Blank" "Blank" 0.524 0.295045045
"159" 1 "T2" "P8" 8 "X72" "P58" "C2" "Compound" 0.117 0.295454545
"160" 1 "T4" "P28" 28 "X83" "A144" "C4" "Compound" 0.107 0.297222222
"161" 1 "T5" "P18" 18 "X67" "P50" "C2" "Compound" 0.482 0.299193048
"162" 1 "T1" "P30" 30 "X85" "A179A" "C4" "Compound" 0.292 0.302590674
"163" 1 "T2" "P36" 36 "X6" "P146" "Control" "Control" 0.103 0.304733728
"164" 1 "T5" "P20" 20 "X61" "P96" "C1" "Compound" 0.739 0.305245766
"165" 1 "T6" "P28" 28 "X80" "P183A" "C3" "Compound" 0.102 0.305389222
"166" 1 "T1" "P4" 4 "X56" "P183A" "Control" "Control" 0.431 0.306325515
"167" 1 "T1" "P19" 19 "X25" "A159" "C3" "Compound" 0.455 0.307640297
"168" 1 "T4" "P19" 19 "X53" "A179A" "Control" "Control" 0.124 0.307692308
"169" 1 "T3" "P28" 28 "X80" "P183A" "C3" "Compound" 0.103 0.308383234
"170" 1 "T5" "P28" 28 "X80" "P183A" "C3" "Compound" 0.103 0.308383234
"171" 1 "T5" "P18" 18 "X93" "P55" "Blank" "Blank" 0.103 0.309309309
"172" 1 "T6" "P36" 36 "X90" "P150" "Blank" "Blank" 0.102 0.310030395
"173" 1 "T2" "P28" 28 "X81" "A341B" "C4" "Compound" 0.116 0.310160428
"174" 1 "T4" "P30" 30 "X93" "A155B" "Blank" "Blank" 0.108 0.310344828
"175" 1 "T4" "P16" 16 "X83" "A144" "C4" "Compound" 0.114 0.310626703
"176" 1 "T2" "P21" 21 "X80" "P98B" "C3" "Compound" 0.317 0.311089303
"177" 1 "T2" "P36" 36 "X90" "P150" "Blank" "Blank" 0.103 0.313069909
"178" 1 "T3" "P36" 36 "X90" "P150" "Blank" "Blank" 0.103 0.313069909
"179" 1 "T5" "P36" 36 "X90" "P150" "Blank" "Blank" 0.103 0.313069909
"180" 1 "T4" "P31" 31 "X51" "A176" "Control" "Control" 0.125 0.314861461
"181" 1 "T4" "P36" 36 "X90" "P150" "Blank" "Blank" 0.104 0.316109422
"182" 1 "T1" "P8" 8 "X24" "P108" "C2" "Compound" 0.185 0.316780822
"183" 1 "T5" "P18" 18 "X94" "P56" "Blank" "Blank" 0.111 0.317142857
"184" 1 "T4" "P19" 19 "X25" "A159" "C3" "Compound" 0.471 0.318458418
"185" 1 "T5" "P20" 20 "X7" "P91B" "Control" "Control" 0.632 0.319030793
"186" 1 "T1" "P6" 6 "X74" "A175" "C3" "Compound" 0.484 0.319050758
"187" 1 "T6" "P23" 23 "X1" "P128A.112" "Control" "Control" 0.449 0.319345661
"188" 1 "T2" "P26" 26 "X9" "A91" "C1" "Compound" 0.51 0.319548872
"189" 1 "T5" "P19" 19 "X51" "P72" "Control" "Control" 0.117 0.319672131
"190" 1 "T4" "P15" 15 "X68" "A110A" "C2" "Compound" 0.564 0.319727891
"191" 1 "T6" "P36" 36 "X66" "P150" "C2" "Compound" 0.167 0.319923372
"192" 1 "T1" "P27" 27 "X45" "A92B" "Blank" "Blank" 0.5 0.320512821
"193" 1 "T2" "P4" 4 "X81" "A141" "C4" "Compound" 0.106 0.32218845
"194" 1 "T3" "P28" 28 "X83" "A343A" "C4" "Compound" 0.106 0.32218845
"195" 1 "T5" "P28" 28 "X83" "A343A" "C4" "Compound" 0.106 0.32218845
"196" 1 "T1" "P5" 5 "X86" "A157A.1" "C4" "Compound" 0.56 0.323512421
"197" 1 "T1" "P2" 2 "X31" "A99A" "C3" "Compound" 0.597 0.324280282
"198" 1 "T2" "P28" 28 "X83" "A343A" "C4" "Compound" 0.107 0.325227964
"199" 1 "T6" "P28" 28 "X83" "A343A" "C4" "Compound" 0.107 0.325227964
"200" 1 "T5" "P19" 19 "X67" "P72" "C2" "Compound" 0.761 0.326189456
"201" 1 "T1" "P27" 27 "X25" "A91" "C3" "Compound" 0.521 0.326236694
