"Experiment" "Time" "Plate" "nr" "Sample" "Microbe" "Compound" "Compound2" "Value" "Relative"
"5556" 1 "T0" "P25" 25 "X38" "P146" "C4" "Compound" 0.234 1
"5557" 1 "T0" "P26" 26 "X38" "A28" "C4" "Compound" 0.234 1
"5558" 1 "T0" "P26" 26 "X38" "A94A" "C4" "Compound" 0.439 1
"5559" 1 "T0" "P27" 27 "X38" "A125" "C4" "Compound" 0.275 1
"5560" 1 "T0" "P28" 28 "X38" "A340A" "C4" "Compound" 0.388 1
"5561" 1 "T0" "P29" 29 "X38" "P270" "C4" "Compound" 0.288 1
"5562" 1 "T0" "P30" 30 "X38" "A169B" "C4" "Compound" 0.417 1
"5563" 1 "T0" "P31" 31 "X38" "P104" "C4" "Compound" 0.279 1
"5564" 1 "T0" "P32" 32 "X38" "P66" "C4" "Compound" 0.407 1
"5565" 1 "T0" "P33" 33 "X38" "P91A" "C4" "Compound" 0.464 1
"5566" 1 "T0" "P34" 34 "X38" "P114" "C4" "Compound" 0.506 1
"5567" 1 "T0" "P35" 35 "X38" "P131" "C4" "Compound" 0.342 1
"5568" 1 "T0" "P36" 36 "X38" "P146" "C4" "Compound" 0.407 1
"5569" 1 "T0" "P1" 1 "X39" "A34" "C4" "Compound" 0.406 1
"5570" 1 "T0" "P2" 2 "X39" "A99A" "C4" "Compound" 0.326 1
"5571" 1 "T0" "P3" 3 "X39" "A138A" "C4" "Compound" 0.671 1
"5572" 1 "T0" "P4" 4 "X39" "A340B" "C4" "Compound" 0.302 1
"5573" 1 "T0" "P5" 5 "X39" "P271" "C4" "Compound" 0.607 1
"5574" 1 "T0" "P6" 6 "X39" "A170A" "C4" "Compound" 0.743 1
"5575" 1 "T0" "P7" 7 "X39" "P106" "C4" "Compound" 0.403 1
"5576" 1 "T0" "P8" 8 "X39" "P67" "C4" "Compound" 0.28 1
"5577" 1 "T0" "P9" 9 "X39" "P91B" "C4" "Compound" 0.406 1
"5578" 1 "T0" "P10" 10 "X39" "P115" "C4" "Compound" 0.391 1
"5579" 1 "T0" "P11" 11 "X39" "P132" "C4" "Compound" 0.399 1
"5580" 1 "T0" "P12" 12 "X39" "P147" "C4" "Compound" 0.343 1
"5581" 1 "T0" "P13" 13 "X39" "A34" "C4" "Compound" 0.335 1
"5582" 1 "T0" "P14" 14 "X39" "A99A" "C4" "Compound" 0.254 1
"5583" 1 "T0" "P15" 15 "X39" "A138A" "C4" "Compound" 0.404 1
"5584" 1 "T0" "P16" 16 "X39" "A340B" "C4" "Compound" 0.299 1
"5585" 1 "T0" "P17" 17 "X39" "P271" "C4" "Compound" 0.477 1
"5586" 1 "T0" "P18" 18 "X39" "A170A" "C4" "Compound" 0.479 1
"5587" 1 "T0" "P19" 19 "X39" "P106" "C4" "Compound" 0.281 1
"5588" 1 "T0" "P21" 21 "X39" "P67" "C4" "Compound" 0.423 1
"5589" 1 "T0" "P22" 22 "X39" "P91B" "C4" "Compound" 0.466 1
"5590" 1 "T0" "P23" 23 "X39" "P115" "C4" "Compound" 0.341 1
"5591" 1 "T0" "P24" 24 "X39" "P132" "C4" "Compound" 0.739 1
"5592" 1 "T0" "P25" 25 "X39" "P147" "C4" "Compound" 0.362 1
"5593" 1 "T0" "P26" 26 "X39" "A34" "C4" "Compound" 0.362 1
"5594" 1 "T0" "P26" 26 "X39" "A99A" "C4" "Compound" 0.443 1
"5595" 1 "T0" "P27" 27 "X39" "A138A" "C4" "Compound" 0.288 1
"5596" 1 "T0" "P28" 28 "X39" "A340B" "C4" "Compound" 0.397 1
"5597" 1 "T0" "P29" 29 "X39" "P271" "C4" "Compound" 0.273 1
"5598" 1 "T0" "P30" 30 "X39" "A170A" "C4" "Compound" 0.342 1
"5599" 1 "T0" "P31" 31 "X39" "P106" "C4" "Compound" 0.277 1
"5600" 1 "T0" "P32" 32 "X39" "P67" "C4" "Compound" 0.398 1
"5601" 1 "T0" "P33" 33 "X39" "P91B" "C4" "Compound" 0.401 1
"5602" 1 "T0" "P34" 34 "X39" "P115" "C4" "Compound" 0.462 1
"5603" 1 "T0" "P35" 35 "X39" "P132" "C4" "Compound" 0.354 1
"5604" 1 "T0" "P36" 36 "X39" "P147" "C4" "Compound" 0.45 1
"5605" 1 "T0" "P1" 1 "X40" "A35" "C4" "Compound" 0.384 1
"5606" 1 "T0" "P2" 2 "X40" "A100" "C4" "Compound" 0.297 1
"5607" 1 "T0" "P3" 3 "X40" "A138B" "C4" "Compound" 0.723 1
"5608" 1 "T0" "P4" 4 "X40" "A341A" "C4" "Compound" 0.303 1
"5609" 1 "T0" "P5" 5 "X40" "A147" "C4" "Compound" 0.427 1
"5610" 1 "T0" "P6" 6 "X40" "A170B" "C4" "Compound" 0.791 1
"5611" 1 "T0" "P7" 7 "X40" "P108" "C4" "Compound" 0.363 1
"5612" 1 "T0" "P8" 8 "X40" "P69" "C4" "Compound" 0.302 1
"5613" 1 "T0" "P9" 9 "X40" "P91C" "C4" "Compound" 0.407 1
"5614" 1 "T0" "P10" 10 "X40" "P117" "C4" "Compound" 0.442 1
"5615" 1 "T0" "P11" 11 "X40" "P133" "C4" "Compound" 0.362 1
"5616" 1 "T0" "P12" 12 "X40" "P148" "C4" "Compound" 0.342 1
"5617" 1 "T0" "P13" 13 "X40" "A35" "C4" "Compound" 0.329 1
"5618" 1 "T0" "P14" 14 "X40" "A100" "C4" "Compound" 0.289 1
"5619" 1 "T0" "P15" 15 "X40" "A138B" "C4" "Compound" 0.4 1
"5620" 1 "T0" "P16" 16 "X40" "A341A" "C4" "Compound" 0.288 1
"5621" 1 "T0" "P17" 17 "X40" "A147" "C4" "Compound" 0.353 1
"5622" 1 "T0" "P18" 18 "X40" "A170B" "C4" "Compound" 0.481 1
"5623" 1 "T0" "P19" 19 "X40" "P108" "C4" "Compound" 0.29 1
"5624" 1 "T0" "P21" 21 "X40" "P69" "C4" "Compound" 0.479 1
"5625" 1 "T0" "P22" 22 "X40" "P91C" "C4" "Compound" 0.463 1
"5626" 1 "T0" "P23" 23 "X40" "P117" "C4" "Compound" 0.338 1
"5627" 1 "T0" "P24" 24 "X40" "P133" "C4" "Compound" 0.328 1
"5628" 1 "T0" "P25" 25 "X40" "P148" "C4" "Compound" 0.375 1
"5629" 1 "T0" "P26" 26 "X40" "A35" "C4" "Compound" 0.375 1
"5630" 1 "T0" "P26" 26 "X40" "A100" "C4" "Compound" 0.442 1
"5631" 1 "T0" "P27" 27 "X40" "A138B" "C4" "Compound" 0.278 1
"5632" 1 "T0" "P28" 28 "X40" "A341A" "C4" "Compound" 0.389 1
"5633" 1 "T0" "P29" 29 "X40" "A147" "C4" "Compound" 0.312 1
"5634" 1 "T0" "P30" 30 "X40" "A170B" "C4" "Compound" 0.338 1
"5635" 1 "T0" "P31" 31 "X40" "P108" "C4" "Compound" 0.285 1
"5636" 1 "T0" "P32" 32 "X40" "P69" "C4" "Compound" 0.397 1
"5637" 1 "T0" "P33" 33 "X40" "P91C" "C4" "Compound" 0.394 1
"5638" 1 "T0" "P34" 34 "X40" "P117" "C4" "Compound" 0.499 1
"5639" 1 "T0" "P35" 35 "X40" "P133" "C4" "Compound" 0.35 1
"5640" 1 "T0" "P36" 36 "X40" "P148" "C4" "Compound" 0.642 1
"5641" 1 "T0" "P1" 1 "X81" "A44" "C4" "Compound" 0.337 1
"5642" 1 "T0" "P2" 2 "X81" "A102" "C4" "Compound" 0.371 1
"5643" 1 "T0" "P3" 3 "X81" "A141" "C4" "Compound" 0.329 1
"5644" 1 "T0" "P4" 4 "X81" "A341B" "C4" "Compound" 0.105 1
"5645" 1 "T0" "P5" 5 "X81" "A148A" "C4" "Compound" 0.416 1
"5646" 1 "T0" "P6" 6 "X81" "A174" "C4" "Compound" 0.437 1
"5647" 1 "T0" "P7" 7 "X81" "P28" "C4" "Compound" 0.405 1
"5648" 1 "T0" "P8" 8 "X81" "P70" "C4" "Compound" 0.375 1
"5649" 1 "T0" "P9" 9 "X81" "P92" "C4" "Compound" 0.442 1
"5650" 1 "T0" "P10" 10 "X81" "P118A" "C4" "Compound" 0.252 1
"5651" 1 "T0" "P11" 11 "X81" "P136" "C4" "Compound" 0.332 1
"5652" 1 "T0" "P12" 12 "X81" "P149" "C4" "Compound" 0.43 1
"5653" 1 "T0" "P13" 13 "X81" "A44" "C4" "Compound" 0.417 1
"5654" 1 "T0" "P14" 14 "X81" "A102" "C4" "Compound" 0.373 1
"5655" 1 "T0" "P15" 15 "X81" "A141" "C4" "Compound" 0.253 1
"5656" 1 "T0" "P16" 16 "X81" "A341B" "C4" "Compound" 0.112 1
"5657" 1 "T0" "P17" 17 "X81" "A148A" "C4" "Compound" 0.411 1
"5658" 1 "T0" "P18" 18 "X81" "A174" "C4" "Compound" 0.369 1
"5659" 1 "T0" "P19" 19 "X81" "P28" "C4" "Compound" 0.812 1
"5660" 1 "T0" "P21" 21 "X81" "P70" "C4" "Compound" 0.25 1
"5661" 1 "T0" "P22" 22 "X81" "P92" "C4" "Compound" 0.526 1
"5662" 1 "T0" "P23" 23 "X81" "P118A" "C4" "Compound" 0.47 1
"5663" 1 "T0" "P24" 24 "X81" "P136" "C4" "Compound" 0.884 1
"5664" 1 "T0" "P25" 25 "X81" "P149" "C4" "Compound" 0.302 1
"5665" 1 "T0" "P26" 26 "X81" "A44" "C4" "Compound" 0.302 1
"5666" 1 "T0" "P26" 26 "X81" "A102" "C4" "Compound" 1.312 1
"5667" 1 "T0" "P27" 27 "X81" "A141" "C4" "Compound" 0.375 1
"5668" 1 "T0" "P28" 28 "X81" "A341B" "C4" "Compound" 0.374 1
"5669" 1 "T0" "P29" 29 "X81" "A148A" "C4" "Compound" 0.102 1
"5670" 1 "T0" "P30" 30 "X81" "A174" "C4" "Compound" 0.44 1
"5671" 1 "T0" "P31" 31 "X81" "P28" "C4" "Compound" 0.378 1
"5672" 1 "T0" "P32" 32 "X81" "P70" "C4" "Compound" 0.422 1
"5673" 1 "T0" "P33" 33 "X81" "P92" "C4" "Compound" 0.247 1
"5674" 1 "T0" "P34" 34 "X81" "P118A" "C4" "Compound" 0.333 1
"5675" 1 "T0" "P35" 35 "X81" "P136" "C4" "Compound" 0.413 1
"5676" 1 "T0" "P36" 36 "X81" "P149" "C4" "Compound" 0.542 1
"5677" 1 "T0" "P1" 1 "X82" "A51" "C4" "Compound" 0.27 1
"5678" 1 "T0" "P2" 2 "X82" "A107" "C4" "Compound" 0.362 1
"5679" 1 "T0" "P3" 3 "X82" "A143" "C4" "Compound" 0.278 1
"5680" 1 "T0" "P4" 4 "X82" "A342" "C4" "Compound" 0.106 1
"5681" 1 "T0" "P5" 5 "X82" "A148B" "C4" "Compound" 0.434 1
"5682" 1 "T0" "P6" 6 "X82" "A175" "C4" "Compound" 0.437 1
"5683" 1 "T0" "P7" 7 "X82" "P41" "C4" "Compound" 0.557 1
"5684" 1 "T0" "P8" 8 "X82" "P71" "C4" "Compound" 0.358 1
"5685" 1 "T0" "P9" 9 "X82" "P93" "C4" "Compound" 0.491 1
"5686" 1 "T0" "P10" 10 "X82" "P118B" "C4" "Compound" 0.258 1
"5687" 1 "T0" "P11" 11 "X82" "P138" "C4" "Compound" 0.338 1
"5688" 1 "T0" "P12" 12 "X82" "P150" "C4" "Compound" 0.424 1
"5689" 1 "T0" "P13" 13 "X82" "A51" "C4" "Compound" 0.998 1
"5690" 1 "T0" "P14" 14 "X82" "A107" "C4" "Compound" 0.492 1
"5691" 1 "T0" "P15" 15 "X82" "A143" "C4" "Compound" 0.273 1
"5692" 1 "T0" "P16" 16 "X82" "A342" "C4" "Compound" 0.111 1
"5693" 1 "T0" "P17" 17 "X82" "A148B" "C4" "Compound" 0.417 1
"5694" 1 "T0" "P18" 18 "X82" "A175" "C4" "Compound" 0.371 1
"5695" 1 "T0" "P19" 19 "X82" "P41" "C4" "Compound" 1.033 1
"5696" 1 "T0" "P21" 21 "X82" "P71" "C4" "Compound" 0.252 1
"5697" 1 "T0" "P22" 22 "X82" "P93" "C4" "Compound" 0.303 1
"5698" 1 "T0" "P23" 23 "X82" "P118B" "C4" "Compound" 0.432 1
"5699" 1 "T0" "P24" 24 "X82" "P138" "C4" "Compound" 0.418 1
"5700" 1 "T0" "P25" 25 "X82" "P150" "C4" "Compound" 0.337 1
"5701" 1 "T0" "P26" 26 "X82" "A51" "C4" "Compound" 0.337 1
"5702" 1 "T0" "P26" 26 "X82" "A107" "C4" "Compound" 1.203 1
"5703" 1 "T0" "P27" 27 "X82" "A143" "C4" "Compound" 0.47 1
"5704" 1 "T0" "P28" 28 "X82" "A342" "C4" "Compound" 0.314 1
"5705" 1 "T0" "P29" 29 "X82" "A148B" "C4" "Compound" 0.105 1
"5706" 1 "T0" "P30" 30 "X82" "A175" "C4" "Compound" 0.419 1
"5707" 1 "T0" "P31" 31 "X82" "P41" "C4" "Compound" 0.389 1
"5708" 1 "T0" "P32" 32 "X82" "P71" "C4" "Compound" 0.476 1
"5709" 1 "T0" "P33" 33 "X82" "P93" "C4" "Compound" 0.236 1
"5710" 1 "T0" "P34" 34 "X82" "P118B" "C4" "Compound" 0.314 1
"5711" 1 "T0" "P35" 35 "X82" "P138" "C4" "Compound" 0.431 1
"5712" 1 "T0" "P36" 36 "X82" "P150" "C4" "Compound" 0.581 1
"5713" 1 "T1" "P2" 2 "X82" "A107" "C4" "Compound" 0.362 1
"5714" 1 "T0" "P1" 1 "X83" "A52" "C4" "Compound" 0.294 1
"5715" 1 "T0" "P2" 2 "X83" "A109A" "C4" "Compound" 0.362 1
"5716" 1 "T0" "P3" 3 "X83" "A144" "C4" "Compound" 0.339 1
"5717" 1 "T0" "P4" 4 "X83" "A343A" "C4" "Compound" 0.11 1
"5718" 1 "T0" "P5" 5 "X83" "A151A" "C4" "Compound" 0.452 1
"5719" 1 "T0" "P6" 6 "X83" "A176" "C4" "Compound" 0.462 1
"5720" 1 "T0" "P7" 7 "X83" "P50" "C4" "Compound" 0.409 1
"5721" 1 "T0" "P8" 8 "X83" "P72" "C4" "Compound" 0.356 1
"5722" 1 "T0" "P9" 9 "X83" "P94" "C4" "Compound" 0.462 1
"5723" 1 "T0" "P10" 10 "X83" "P120" "C4" "Compound" 0.247 1
"5724" 1 "T0" "P11" 11 "X83" "P139A" "C4" "Compound" 0.323 1
"5725" 1 "T0" "P12" 12 "X83" "P152" "C4" "Compound" 0.442 1
"5726" 1 "T0" "P13" 13 "X83" "A52" "C4" "Compound" 0.488 1
"5727" 1 "T0" "P14" 14 "X83" "A109A" "C4" "Compound" 0.413 1
"5728" 1 "T0" "P15" 15 "X83" "A144" "C4" "Compound" 0.367 1
"5729" 1 "T0" "P16" 16 "X83" "A343A" "C4" "Compound" 0.11 1
"5730" 1 "T0" "P17" 17 "X83" "A151A" "C4" "Compound" 0.459 1
"5731" 1 "T0" "P18" 18 "X83" "A176" "C4" "Compound" 0.349 1
"5732" 1 "T0" "P19" 19 "X83" "P50" "C4" "Compound" 0.626 1
"5733" 1 "T0" "P21" 21 "X83" "P72" "C4" "Compound" 0.238 1
"5734" 1 "T0" "P22" 22 "X83" "P94" "C4" "Compound" 0.357 1
"5735" 1 "T0" "P23" 23 "X83" "P120" "C4" "Compound" 0.453 1
"5736" 1 "T0" "P24" 24 "X83" "P139A" "C4" "Compound" 0.696 1
"5737" 1 "T0" "P25" 25 "X83" "P152" "C4" "Compound" 0.301 1
"5738" 1 "T0" "P26" 26 "X83" "A52" "C4" "Compound" 0.301 1
"5739" 1 "T0" "P26" 26 "X83" "A109A" "C4" "Compound" 0.487 1
"5740" 1 "T0" "P27" 27 "X83" "A144" "C4" "Compound" 0.36 1
"5741" 1 "T0" "P28" 28 "X83" "A343A" "C4" "Compound" 0.329 1
"5742" 1 "T0" "P29" 29 "X83" "A151A" "C4" "Compound" 0.105 1
"5743" 1 "T0" "P30" 30 "X83" "A176" "C4" "Compound" 0.447 1
"5744" 1 "T0" "P31" 31 "X83" "P50" "C4" "Compound" 0.339 1
"5745" 1 "T0" "P32" 32 "X83" "P72" "C4" "Compound" 0.436 1
"5746" 1 "T0" "P33" 33 "X83" "P94" "C4" "Compound" 0.251 1
"5747" 1 "T0" "P34" 34 "X83" "P120" "C4" "Compound" 0.332 1
"5748" 1 "T0" "P35" 35 "X83" "P139A" "C4" "Compound" 0.415 1
"5749" 1 "T0" "P36" 36 "X83" "P152" "C4" "Compound" 0.63 1
"5750" 1 "T2" "P16" 16 "X83" "A343A" "C4" "Compound" 0.11 1
"5751" 1 "T3" "P16" 16 "X83" "A343A" "C4" "Compound" 0.11 1
"5752" 1 "T5" "P4" 4 "X83" "A343A" "C4" "Compound" 0.11 1
"5753" 1 "T0" "P1" 1 "X84" "A55" "C4" "Compound" 0.107 1
"5754" 1 "T0" "P2" 2 "X84" "A110A" "C4" "Compound" 0.111 1
"5755" 1 "T0" "P3" 3 "X84" "A190" "C4" "Compound" 0.11 1
"5756" 1 "T0" "P4" 4 "X84" "A343B" "C4" "Compound" 0.114 1
"5757" 1 "T0" "P5" 5 "X84" "A152" "C4" "Compound" 0.106 1
"5758" 1 "T0" "P6" 6 "X84" "A178" "C4" "Compound" 0.112 1
"5759" 1 "T0" "P7" 7 "X84" "P54" "C4" "Compound" 0.581 1
"5760" 1 "T0" "P8" 8 "X84" "P74A" "C4" "Compound" 0.107 1
"5761" 1 "T0" "P9" 9 "X84" "P95" "C4" "Compound" 0.112 1
"5762" 1 "T0" "P10" 10 "X84" "P122A" "C4" "Compound" 0.109 1
"5763" 1 "T0" "P11" 11 "X84" "P139C" "C4" "Compound" 0.108 1
"5764" 1 "T0" "P12" 12 "X84" "P153" "C4" "Compound" 0.107 1
"5765" 1 "T0" "P13" 13 "X84" "A55" "C4" "Compound" 0.109 1
"5766" 1 "T0" "P14" 14 "X84" "A110A" "C4" "Compound" 0.11 1
"5767" 1 "T0" "P15" 15 "X84" "A190" "C4" "Compound" 0.107 1
"5768" 1 "T0" "P16" 16 "X84" "A343B" "C4" "Compound" 0.112 1
"5769" 1 "T0" "P17" 17 "X84" "A152" "C4" "Compound" 0.118 1
"5770" 1 "T0" "P18" 18 "X84" "A178" "C4" "Compound" 0.116 1
"5771" 1 "T0" "P19" 19 "X84" "P54" "C4" "Compound" 0.113 1
"5772" 1 "T0" "P21" 21 "X84" "P74A" "C4" "Compound" 0.117 1
"5773" 1 "T0" "P22" 22 "X84" "P95" "C4" "Compound" 0.116 1
"5774" 1 "T0" "P23" 23 "X84" "P122A" "C4" "Compound" 0.119 1
"5775" 1 "T0" "P24" 24 "X84" "P139C" "C4" "Compound" 0.115 1
"5776" 1 "T0" "P25" 25 "X84" "P153" "C4" "Compound" 0.11 1
"5777" 1 "T0" "P26" 26 "X84" "A55" "C4" "Compound" 0.11 1
"5778" 1 "T0" "P26" 26 "X84" "A110A" "C4" "Compound" 0.118 1
"5779" 1 "T0" "P27" 27 "X84" "A190" "C4" "Compound" 0.108 1
"5780" 1 "T0" "P28" 28 "X84" "A343B" "C4" "Compound" 0.113 1
"5781" 1 "T0" "P29" 29 "X84" "A152" "C4" "Compound" 0.107 1
"5782" 1 "T0" "P30" 30 "X84" "A178" "C4" "Compound" 0.107 1
"5783" 1 "T0" "P31" 31 "X84" "P54" "C4" "Compound" 0.108 1
"5784" 1 "T0" "P32" 32 "X84" "P74A" "C4" "Compound" 0.121 1
"5785" 1 "T0" "P33" 33 "X84" "P95" "C4" "Compound" 0.108 1
"5786" 1 "T0" "P34" 34 "X84" "P122A" "C4" "Compound" 0.109 1
"5787" 1 "T0" "P35" 35 "X84" "P139C" "C4" "Compound" 0.106 1
"5788" 1 "T0" "P36" 36 "X84" "P153" "C4" "Compound" 0.109 1
"5789" 1 "T1" "P2" 2 "X84" "A110A" "C4" "Compound" 0.111 1
"5790" 1 "T2" "P14" 14 "X84" "A110A" "C4" "Compound" 0.11 1
"5791" 1 "T2" "P27" 27 "X84" "A190" "C4" "Compound" 0.108 1
"5792" 1 "T3" "P13" 13 "X84" "A55" "C4" "Compound" 0.109 1
"5793" 1 "T3" "P14" 14 "X84" "A110A" "C4" "Compound" 0.11 1
"5794" 1 "T3" "P31" 31 "X84" "P54" "C4" "Compound" 0.108 1
"5795" 1 "T4" "P31" 31 "X84" "A178" "C4" "Compound" 0.107 1
"5796" 1 "T5" "P23" 23 "X84" "P153" "C4" "Compound" 0.11 1
"5797" 1 "T5" "P33" 33 "X84" "P95" "C4" "Compound" 0.108 1
"5798" 1 "T5" "P35" 35 "X84" "P139C" "C4" "Compound" 0.106 1
"5799" 1 "T6" "P6" 6 "X84" "A178" "C4" "Compound" 0.112 1
"5800" 1 "T6" "P33" 33 "X84" "P95" "C4" "Compound" 0.108 1
"5801" 1 "T0" "P1" 1 "X85" "A65B" "C4" "Compound" 0.496 1
"5802" 1 "T0" "P2" 2 "X85" "A111" "C4" "Compound" 0.483 1
"5803" 1 "T0" "P3" 3 "X85" "A226B" "C4" "Compound" 0.221 1
"5804" 1 "T0" "P4" 4 "X85" "A345" "C4" "Compound" 0.455 1
"5805" 1 "T0" "P5" 5 "X85" "A155B" "C4" "Compound" 1.916 1
"5806" 1 "T0" "P6" 6 "X85" "A179A" "C4" "Compound" 0.237 1
"5807" 1 "T0" "P7" 7 "X85" "P55" "C4" "Compound" 0.225 1
"5808" 1 "T0" "P8" 8 "X85" "P74B" "C4" "Compound" 0.244 1
"5809" 1 "T0" "P9" 9 "X85" "P96" "C4" "Compound" 0.388 1
"5810" 1 "T0" "P10" 10 "X85" "P122B" "C4" "Compound" 0.35 1
"5811" 1 "T0" "P11" 11 "X85" "P140A" "C4" "Compound" 0.441 1
"5812" 1 "T0" "P12" 12 "X85" "P154" "C4" "Compound" 0.377 1
"5813" 1 "T0" "P13" 13 "X85" "A65B" "C4" "Compound" 0.552 1
"5814" 1 "T0" "P14" 14 "X85" "A111" "C4" "Compound" 0.439 1
"5815" 1 "T0" "P15" 15 "X85" "A226B" "C4" "Compound" 0.263 1
"5816" 1 "T0" "P16" 16 "X85" "A345" "C4" "Compound" 0.332 1
"5817" 1 "T0" "P17" 17 "X85" "A155B" "C4" "Compound" 0.826 1
"5818" 1 "T0" "P18" 18 "X85" "A179A" "C4" "Compound" 0.235 1
"5819" 1 "T0" "P19" 19 "X85" "P55" "C4" "Compound" 0.254 1
"5820" 1 "T0" "P21" 21 "X85" "P74B" "C4" "Compound" 0.755 1
"5821" 1 "T0" "P22" 22 "X85" "P96" "C4" "Compound" 0.538 1
"5822" 1 "T0" "P23" 23 "X85" "P122B" "C4" "Compound" 0.458 1
"5823" 1 "T0" "P24" 24 "X85" "P140A" "C4" "Compound" 0.371 1
"5824" 1 "T0" "P25" 25 "X85" "P154" "C4" "Compound" 0.429 1
"5825" 1 "T0" "P26" 26 "X85" "A65B" "C4" "Compound" 0.429 1
"5826" 1 "T0" "P26" 26 "X85" "A111" "C4" "Compound" 0.344 1
"5827" 1 "T0" "P27" 27 "X85" "A226B" "C4" "Compound" 0.509 1
"5828" 1 "T0" "P28" 28 "X85" "A345" "C4" "Compound" 0.238 1
"5829" 1 "T0" "P29" 29 "X85" "A155B" "C4" "Compound" 0.353 1
"5830" 1 "T0" "P30" 30 "X85" "A179A" "C4" "Compound" 0.965 1
"5831" 1 "T0" "P31" 31 "X85" "P55" "C4" "Compound" 0.245 1
"5832" 1 "T0" "P32" 32 "X85" "P74B" "C4" "Compound" 0.292 1
"5833" 1 "T0" "P33" 33 "X85" "P96" "C4" "Compound" 0.361 1
"5834" 1 "T0" "P34" 34 "X85" "P122B" "C4" "Compound" 0.422 1
"5835" 1 "T0" "P35" 35 "X85" "P140A" "C4" "Compound" 0.417 1
"5836" 1 "T0" "P36" 36 "X85" "P154" "C4" "Compound" 0.301 1
"5837" 1 "T1" "P24" 24 "X85" "P140A" "C4" "Compound" 0.371 1
"5838" 1 "T0" "P1" 1 "X86" "A69" "C4" "Compound" 0.455 1
"5839" 1 "T0" "P2" 2 "X86" "A112A" "C4" "Compound" 0.487 1
"5840" 1 "T0" "P3" 3 "X86" "A226C" "C4" "Compound" 1.389 1
"5841" 1 "T0" "P4" 4 "X86" "A348" "C4" "Compound" 0.357 1
"5842" 1 "T0" "P5" 5 "X86" "A157A.1" "C4" "Compound" 1.731 1
"5843" 1 "T0" "P6" 6 "X86" "A179B" "C4" "Compound" 0.229 1
"5844" 1 "T0" "P7" 7 "X86" "P56" "C4" "Compound" 0.238 1
"5845" 1 "T0" "P8" 8 "X86" "P76" "C4" "Compound" 0.246 1
"5846" 1 "T0" "P9" 9 "X86" "P97" "C4" "Compound" 0.328 1
"5847" 1 "T0" "P10" 10 "X86" "P126" "C4" "Compound" 0.356 1
"5848" 1 "T0" "P11" 11 "X86" "P140B" "C4" "Compound" 0.415 1
"5849" 1 "T0" "P12" 12 "X86" "P155" "C4" "Compound" 0.408 1
"5850" 1 "T0" "P13" 13 "X86" "A69" "C4" "Compound" 0.573 1
"5851" 1 "T0" "P14" 14 "X86" "A112A" "C4" "Compound" 0.476 1
"5852" 1 "T0" "P15" 15 "X86" "A226C" "C4" "Compound" 0.205 1
"5853" 1 "T0" "P16" 16 "X86" "A348" "C4" "Compound" 0.346 1
"5854" 1 "T0" "P17" 17 "X86" "A157A.1" "C4" "Compound" 0.771 1
"5855" 1 "T0" "P18" 18 "X86" "A179B" "C4" "Compound" 0.24 1
"5856" 1 "T0" "P19" 19 "X86" "P56" "C4" "Compound" 0.25 1
"5857" 1 "T0" "P21" 21 "X86" "P76" "C4" "Compound" 0.415 1
"5858" 1 "T0" "P22" 22 "X86" "P97" "C4" "Compound" 0.478 1
"5859" 1 "T0" "P23" 23 "X86" "P126" "C4" "Compound" 0.357 1
"5860" 1 "T0" "P24" 24 "X86" "P140B" "C4" "Compound" 0.316 1
"5861" 1 "T0" "P25" 25 "X86" "P155" "C4" "Compound" 0.273 1
"5862" 1 "T0" "P26" 26 "X86" "A69" "C4" "Compound" 0.273 1
"5863" 1 "T0" "P26" 26 "X86" "A112A" "C4" "Compound" 0.357 1
"5864" 1 "T0" "P27" 27 "X86" "A226C" "C4" "Compound" 0.453 1
"5865" 1 "T0" "P28" 28 "X86" "A348" "C4" "Compound" 0.214 1
"5866" 1 "T0" "P29" 29 "X86" "A157A.1" "C4" "Compound" 0.344 1
"5867" 1 "T0" "P30" 30 "X86" "A179B" "C4" "Compound" 0.396 1
"5868" 1 "T0" "P31" 31 "X86" "P56" "C4" "Compound" 0.251 1
"5869" 1 "T0" "P32" 32 "X86" "P76" "C4" "Compound" 0.302 1
"5870" 1 "T0" "P33" 33 "X86" "P97" "C4" "Compound" 0.403 1
"5871" 1 "T0" "P34" 34 "X86" "P126" "C4" "Compound" 0.435 1
"5872" 1 "T0" "P35" 35 "X86" "P140B" "C4" "Compound" 0.435 1
"5873" 1 "T0" "P36" 36 "X86" "P155" "C4" "Compound" 0.32 1
"5874" 1 "T0" "P1" 1 "X87" "A69B" "C4" "Compound" 0.449 1
"5875" 1 "T0" "P2" 2 "X87" "A112B" "C4" "Compound" 0.471 1
"5876" 1 "T0" "P3" 3 "X87" "A245" "C4" "Compound" 0.346 1
"5877" 1 "T0" "P4" 4 "X87" "A349" "C4" "Compound" 0.368 1
"5878" 1 "T0" "P5" 5 "X87" "A157A.2" "C4" "Compound" 0.774 1
"5879" 1 "T0" "P6" 6 "X87" "A180A" "C4" "Compound" 0.243 1
"5880" 1 "T0" "P7" 7 "X87" "P57" "C4" "Compound" 0.235 1
"5881" 1 "T0" "P8" 8 "X87" "P77" "C4" "Compound" 0.244 1
"5882" 1 "T0" "P9" 9 "X87" "P98A" "C4" "Compound" 0.336 1
"5883" 1 "T0" "P10" 10 "X87" "P127" "C4" "Compound" 0.351 1
