"Species" "Metabolite" "log2foldchange" "p.value" "SignPval" "p.ajust" "SignPajus"
"49" "LA7339" "X49" 0.00917206118234404 0.692278918435252 "NoSignificant" 0.813781997610983 "NoSignificant"
"50" "LA7339" "X50" -0.0222810071260526 0.0188638191112391 "q < 0.05" 0.470573454842811 "NoSignificant"
"51" "LA7339" "X51" -0.0223855386028382 0.0188627010677019 "q < 0.05" 0.470573454842811 "NoSignificant"
"52" "LA7339" "X52" -0.0062479816842762 0.644943394005779 "NoSignificant" 0.781646577297593 "NoSignificant"
"53" "LA7339" "X53" -0.154725485918468 0.0831565802327119 "NoSignificant" 0.470573454842811 "NoSignificant"
"54" "LA7339" "X54" -0.0734477083789797 0.354261603405029 "NoSignificant" 0.578703156181828 "NoSignificant"
"55" "LA7339" "X55" -0.00756638290779499 0.883661490220183 "NoSignificant" 0.934308154846225 "NoSignificant"
"56" "LA7339" "X56" -0.00756638290779499 0.883661490220183 "NoSignificant" 0.934308154846225 "NoSignificant"
"57" "LA7339" "X57" -0.0927366353993864 0.132977244025831 "NoSignificant" 0.470573454842811 "NoSignificant"
"58" "LA7339" "X58" 0.029579300760934 0.559658647986764 "NoSignificant" 0.722558112188224 "NoSignificant"
"59" "LA7339" "X59" -0.0265810737087913 0.202713452674441 "NoSignificant" 0.492979023613626 "NoSignificant"
"60" "LA7339" "X60" -0.00549479867131897 0.407085186847078 "NoSignificant" 0.614982140807832 "NoSignificant"
"61" "LA7339" "X61" -0.0510456478255699 0.139061150466316 "NoSignificant" 0.470573454842811 "NoSignificant"
"62" "LA7339" "X62" 0.235415914569098 0.125995633272578 "NoSignificant" 0.470573454842811 "NoSignificant"
"63" "LA7339" "X63" -0.061305878924351 0.108297923176153 "NoSignificant" 0.470573454842811 "NoSignificant"
"64" "LA7339" "X64" -0.0950547833338926 0.0596975919640173 "NoSignificant" 0.470573454842811 "NoSignificant"
"65" "LA7339" "X65" -0.0797860041506011 0.153672960338658 "NoSignificant" 0.472604592602261 "NoSignificant"
"66" "LA7339" "X66" -0.0365506674560936 0.327913294971805 "NoSignificant" 0.562238619196599 "NoSignificant"
"67" "LA7339" "X67" -0.0365506674560936 0.327913294971805 "NoSignificant" 0.562238619196599 "NoSignificant"
"68" "LA7339" "X68" -0.00613652442056711 0.780767359113966 "NoSignificant" 0.872571872768026 "NoSignificant"
"69" "LA7339" "X69" -0.140966395954965 0.119572025882182 "NoSignificant" 0.470573454842811 "NoSignificant"
"70" "LA7339" "X70" -0.0170610575135375 0.553470330036508 "NoSignificant" 0.718006561305888 "NoSignificant"
"71" "LA7339" "X71" -0.0263078841026942 0.393785382051813 "NoSignificant" 0.605501869420028 "NoSignificant"
"72" "LA7339" "X72" 0.0343896745212273 0.582766827970989 "NoSignificant" 0.738030784213497 "NoSignificant"
"73" "LA7339" "X73" -0.0402477341245313 0.128894444007458 "NoSignificant" 0.470573454842811 "NoSignificant"
"74" "LA7339" "X74" -0.0359682946769508 0.336318524314398 "NoSignificant" 0.567283057182181 "NoSignificant"
"75" "LA7339" "X75" -0.0299459270941935 0.196991455013909 "NoSignificant" 0.489885838754504 "NoSignificant"
"76" "LA7339" "X76" -0.0514154628719852 0.158909029874708 "NoSignificant" 0.472658339481328 "NoSignificant"
"77" "LA7339" "X77" -0.0244502449649096 0.440658745137933 "NoSignificant" 0.637546236466633 "NoSignificant"
"78" "LA7339" "X78" -0.0078836495340866 0.764790695619105 "NoSignificant" 0.861796807172333 "NoSignificant"
"79" "LA7339" "X79" -0.0324382301451274 0.00708411687062907 "q < 0.05" 0.470573454842811 "NoSignificant"
"80" "LA7339" "X80" 0.0246478482932653 0.284411816032394 "NoSignificant" 0.535967133432998 "NoSignificant"
"81" "LA7339" "X81" -0.0193528925982367 0.069121714928869 "NoSignificant" 0.470573454842811 "NoSignificant"
"82" "LA7339" "X82" -0.0175986888486004 0.607189567111187 "NoSignificant" 0.755643640458582 "NoSignificant"
